web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,data16,data17,data18,data19,image4
1776263763-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Caminar en la cena,katcas88,"Visité Kausa en mi viaje a Madrid. Pedro nos atendió, y fue increíble. Muy servicial educado. La comida estaba deliciosa. Sin duda recomendaría este lugar 👌",32 contribuciones,Escrita el 10 de octubre de 2024,32.0,,,,"Arlington, Virginia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,
1776263763-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,Los 10 mejores restaurantes con estrellas Michelin de París para disfrutar de la mejor experiencia gastronómica,"La capital francesa no solo destaca por el arte, la cultura y el romanticismo, sino también por albergar los mejores restaurantes del mundo. Francia es un centro gastronómico internacional que cuenta con el mayor número de restaurantes con estrellas Michelin. Además, más de 100 de estos restaurantes se encuentran en París.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/49/39/a6/caption.jpg?w=400&h=400&s=1&cx=640&cy=370&chk=v1_6b332c6c87703423d066,,,,,,,
1776263763-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Un restarante 100% aconsejable,Pere G,Hemos comido por primera vez comida peruana y la verdad que hemos salido muy contentos. Todo muy bueno. 100% recomenado,1 contribución,Escrita el 9 de octubre de 2024,1.0,,,,"Vidreres, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f0/8f/d0/garrigapere.jpg?w=100&h=-1&s=1,,,,,
1776263763-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Kuasa Madrid el mejor de Madrid,Kevin l,Estaba increíble y delicioso y conseguí lomo saltado. El servicio también fue excelente. El lugar es espacioso y está en una buena zona de Madrid. Tienes que venir a probarlo por ti mismo.,1 contribución,Escrita el 3 de octubre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,
1776263763-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Muy buena,Nataly R,"Muy buenos platos, sabores y presentacion exquisita. Opciones para celiacos y el camarero Pedro muy atento y simpático, se preocupó en todo momento para que mis platos fueran sin gluten. Rapido y efectivo servicio",3 contribuciones,Escrita el 2 de octubre de 2024,3.0,,,,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/af/34/7c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,
1776263763-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buena comida en el centro de Madrid 😋,yonaike,"Excelente citio para degustar de la gastronomía del Perú, muy buena atención y calidad. Y para culminar unos chupitos de cortesía.",1 contribución,Escrita el 1 de octubre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,
1776263763-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Para repetir,Javier O,"Increíble comida y más increíble la atención de Pedro con su amabilidad y gran preparación de. Pisco 👏😃.
Para repetir.",2 contribuciones,Escrita el 28 de septiembre de 2024,2.0,,,,"Zaragoza, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,
1776263763-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,12 experiencias y lugares de rodaje emblemáticos de Harry Potter en Londres,"20 años después, la magia del mundo mágico de Harry Potter sigue viva. Tanto si tienes los libros ya gastados como si has visto las películas hasta la saciedad (o ambas cosas; como tiene que ser), como buen fan de Harry Potter no puedes perderte Londres, donde se pueden visitar los lugares de rodaje, las fuentes de inspiración y las atracciones que evitarán que este fuego eterno se apague.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/dc/15/52/caption.jpg?w=400&h=400&s=1&cx=700&cy=504&chk=v1_99d8403675da1a442f8d,,,,,,,
1776263763-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buena,Karol C,"Muy rica comida, la bebida y quien nos atendió fue muy amable y amistoso... !!! Gracias Pedro 🙂 volveremos pronto... super",1 contribución,Escrita el 28 de septiembre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,
1776263763-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Muy buena opción de comida Peruana en Madrid,Raul C,Muy buena comida. La comida muy buena. Lo recomendaría a cualquier persona en Madrid que quiera comida peruana. El menú es muy buena opción si quieres tener una buena experiencia de comida peruana.,1 contribución,Escrita el 27 de septiembre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,
