web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,image2,image3,image4,image5,image6,image7,position,data24,data25,data26
1776264013-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,"Lo mejor de todo el trago recomendado por Kevin y la hamburguesa, croquetas todo",Indira C,"El mejor sitio que estuve en Madrid , venimos de florida miami y estuvo genial toda la comida,  los tragos muy buenos,  en especial uno que nos recomendó el manager kevin… fue la mejor de todas, espero la pongan en el menú para la próxima visita a bestial 🙌","¡Mil gracias! 😄✨ Nos alegra muchísimo que disfrutarais desde Miami hasta Madrid 🍸🍔 Con recomendaciones así, repetir es obligatorio 🙌💫 ¡os esperamos pronto!",1 contribución,1,Escrita el 3 de diciembre de 2025,Pidan el trago recomendado por el manager que no está en el menú,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Reunión de amigos,Ivis C,Estuvo todo bestial fuimos con varios amigos a tomar unos cócteles y tienen mucha variedad en sabores tienen pianista y cantante,"¡Mil gracias! 😄✨ Con amigos, buena música y cócteles así, la experiencia solo puede ser BESTIAL 🎹🍸💫 ¡os esperamos pronto!",1 contribución,1,Escrita el 27 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,BESTIAL,Ana M,"Simplemente BESTIAL
Todo, comida, local, decoración, personal, atención…
Tiradoto de lubina y de atún más que recomendable","¡Mil gracias! 😄✨ Con experiencias así, todo es realmente BESTIAL 💫🍽️ ¡os esperamos pronto!",1 contribución,1,Escrita el 26 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Navidad bestial,Manuel N,"Fui con mi chica y le encantó la comida y la bebida si quieres vivir una experiencia deferente en comida bebida bestial el mejor
Fuimos atendidos por Tania es muy bestial","¡Mil gracias! 😄✨ Con comida, bebida y atención BESTIAL, la Navidad se disfruta al máximo 🎄🍸💫 ¡os esperamos pronto!",1 contribución,1,Escrita el 25 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Rico,Álvaro C,"Comida muy rica, servicio estupendo del camarero Mauricio y sin duda sólo volveríamos para la manera de guiarnos en esta experiencia!! Un diez!!","¡Mil gracias! 😄✨ Con un servicio así, la experiencia siempre merece la pena 💫🍽️ ¡os esperamos pronto!",1 contribución,1,Escrita el 25 de noviembre de 2025,,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Lugar mágico,Ana R,Es un lugar mágico destaca su hospitalidad fuimos atendidos por jonny nos guió en la experiencia tanto en la comida como en la cocteleria,"¡Mil gracias! 😄✨ Con guía y atención así, la experiencia se vuelve realmente mágica 💫🍽️🍸 ¡os esperamos pronto!",1 contribución,1,Escrita el 25 de noviembre de 2025,Preguntar por jonny es un amor atendiendo y muy profesional,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Todo bestial,Belén A,"Fuimos con unos amigos ya he ido varias veces y siempre son muy amables y atentos, los cocteles son muy ricos sobre todo sumergir y la comida bestial","¡Mil gracias! 😄✨ Con amigos, cócteles deliciosos y buena comida, todo es realmente BESTIAL 💫🍽️🍸 ¡os esperamos pronto!",1 contribución,1,Escrita el 25 de noviembre de 2025,Hacer reserva por que siempre esta lleno,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Cumpleaños,Mar G,"Fuimos para el cumple de mi madre, tiraron burbujas 🫧. Muy rica la comida, el ambiente estupendo, el trato del personal maravilloso. Creo que el chico que nos atendió se llama Kevin y quería que gane el viaje jeje 
Ganas de volver a probar esos cócteles tan ricos.","¡Mil gracias! 😄✨ Qué alegría que la celebración fuera tan especial 🎉🫧 Con comida, ambiente y atención así, repetir es inevitable 💫🍸 ¡os esperamos pronto!",1 contribución,1,Escrita el 25 de noviembre de 2025,Sangria del día riquísima,1 contribución,Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d4/be/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d4/be/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d4/be/eb/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Excelente lugar! La comida garantizada!,Christina M,"El lugar hermoso! La decoración está increíble y la comida ni se diga…
Nosotros optamos por botellas de vino pero tienen menú de coctelería muy bueno.
La comida probamos la ensalada griega, las patatas más famosas y un burrata muy muy bueno!
También escogimos el lomo y el risotto falso con trufa más delicioso que hemos probado en nuestra vida! Súper recomendado!!!
Muy buen servicio, volveremos sin duda!","¡Mil gracias! 😄✨ Con buena comida, servicio y ese ambiente, la experiencia solo puede ser increíble 💫🍽️🍷 ¡os esperamos pronto!",325 contribuciones,325,Escrita el 23 de noviembre de 2025,,"San Pedro Garza Garcia, México",Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/f8/4f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/f8/50/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/f8/4e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/f8/51/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/f8/52/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
1776264013-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d27524524-Reviews-Bestial_By_Rosi_La_Loca-Madrid.html,Despertar de todos los sentidos,Navigate236360,"El restaurante muy visual una temática marina muy bonita 
la voz en directo suave y delicada
la comida deliciosa
La textura y el diseño de la vajilla aportan una experiencia muy agradable
Sin duda totalmente recomendable","¡Mil gracias! 😄✨ Con detalles así en todos los sentidos, la experiencia se disfruta al máximo 💫🍽️🎶 ¡os esperamos pronto!",84 contribuciones,84,Escrita el 23 de noviembre de 2025,,"Toledo, España",Bestial b,Escrita el 23 de diciembre de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/c9/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/c9/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/c9/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/c9/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/d1/c9/7b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/cf/94/bestial-b.jpg?w=100&h=-1&s=1,,,,
