web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,image4,position
1776264269-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,UN JAPONÉS MUY ESPAÑOL,Jc F,"La experiencia fue fantástica, no solamente por la calidad y el cuidado de los distintos platos, el complemente excepcional es el servicio ofrecido por los camareros que conocen perfectamente todos los detalles, asesoran en base a la cantidad pedida y ayudan a seleccionar en función de los gustos. Sin duda una grata experiencia que espero repetir pronto.",9 contribuciones,9,Escrita el 19 de febrero de 2024,"Barcelona, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,
1776264269-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Asiático informal,Javier,"Restaurante asiático de ambiente informal y muy agradable. El personal es muy atento y vale la pena dejarse aconsejar en la elección de los platos. Nos gustaron especialmente el tratar de atún con yema, el japo-taco y la gioza de toro.",939 contribuciones,939,Escrita el 18 de febrero de 2024,939 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/73/fd/9d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1776264269-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Decepcionante,Amalia M,"Íbamos con mucha ilusión a este sitio pero ha sido un fracaso. 
Nos han hecho esperar al llegar, pasándonos de un sitio a otro, y la comida ha dejado mucho que desear.
Tartar correcto, sin más, pero de una cantidad ridícula, y rolls incomestibles qu hemos tenido que cambiar.
Nos los han cambiado sin problema pero no hemos recibido una compensación ni siquiera una disculpa. En cualquier caso, rolls muy normalitos, a la altura de un chino de barrio.
Una pena..",32 contribuciones,32,Escrita el 18 de febrero de 2024,32 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,
1776264269-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente comida y gran calidad.,Raul279827,"Cocina excelente, servicio extraordinario. Gran calidad de comida, originalidad, sabores exquisitos, ambiente relajado. Muy buena elección. 
Volveré a disfrutar de una comida tan sabrosa . 
Lo recomiendo.",6 contribuciones,6,Escrita el 13 de febrero de 2024,"Vitoria-Gasteiz, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,
1776264269-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente,Dani Salen,Excelente!!! la comida y el trato del personal son de 10. Hemos estado en varias ocasiones y seguro que repetiremos. Muy recomendable,10 contribuciones,10,Escrita el 13 de febrero de 2024,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/6a/b5/21/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/53/1e/2d/dsalen78.jpg?w=100&h=-1&s=1,,,,,
1776264269-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Maravilloso,Alba C,"El trato del personal es exquisito, la comida una maravilla. Una experiencia gastronómica de diez. Siempre lo recomendamos 💯✨",5 contribuciones,5,Escrita el 3 de febrero de 2024,5 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/82/51/caption.jpg?w=300&h=300&s=1,,,,,,
1776264269-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Ideal,Ingo123,Restaurante de ambiente informal pero con cocina de gran calidad. Nos dejamos recomendar por la responsable de la sala que acertó con todo. Una experiencia muy agradable.,32 contribuciones,32,Escrita el 27 de enero de 2024,32 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c1/0b/c6/caption.jpg?w=100&h=-1&s=1,,,,,
1776264269-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excepcional,Cande C,"Excepcional! Es una experiencia maravillosa, el llegar, las opciones, la calidad del producto, pero sobre todo el servicio, David nos aconsejó y mimó como nadie! Muchas gracias! Repetiremos Seguri!",5 contribuciones,5,Escrita el 26 de enero de 2024,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,
1776264269-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Un lugar agradable y de buena comida,Francisco J,"Me sorprendió gratamente, detectaron durante la amable conversación nuestros gustos y nos dejamos orientar por David, que acertó de lleno. Una grata y amable experiencia donde el trato es fabuloso. GRACIAS EQUIPO! Y Gracias David por tu profesionalidad. Repetiremos. La comida muy muy buena.",2 contribuciones,2,Escrita el 25 de enero de 2024,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,
1776264269-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,No volvería,Camper27422177155,"La comida buena y elaborada, poca cantidad y precios elevados, tiempos mal gestionados, te dan una hora y media para comer y sirven muy lentos por lo que no te da tiempo ni a pedir postre y te sirven el café diciéndote que te vayas lo que no te hacen sentir acogido, pese a que la comida estaba bien, no volvería",1 contribución,1,Escrita el 20 de enero de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,
1776264269-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente comida y trato.,Montserrat V,Comimos muy bien. Todos los que fuimos disfrutamos comiendo. Excelente trato por parte de todos.Recomendable 100% Repetiremos,2 contribuciones,2,Escrita el 12 de enero de 2024,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,
1776264269-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,"EXCELENTE, Y ADMITEN PERROS",Sherpa06900424048,"Hemos ido muchas veces y repetimos porque nos encanta, todo está buenísimo. La gyoza de rabo de toro la pedimos siempre. Esta vez fuimos con nuestros dos perros pequeños, admiten perros, pero hay que avisar al reservar porque solo pueden estar en la planta baja.",2 contribuciones,2,Escrita el 10 de diciembre de 2023,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,
1776264269-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente.,Cervantes A,"Fue un descubrimiento, tanto el local como el ambiente relajado que se respiraba, buena luz y buena música. El trato del personal fue excelente. La comida maravillosa, con ganas de volver y probar otros platos de la carta.",3 contribuciones,3,Escrita el 4 de diciembre de 2023,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,
1776264269-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Sabor y atención excelente,solmerce,"Muy buena atención en el restaurante,  muy acogedores, y la comida fabulosa en su totalidad. Desde Córdoba expresamente para probarla. No me cansaría de volver.",6 contribuciones,6,Escrita el 27 de noviembre de 2023,"Córdoba, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,
