web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,image5,data21,data22,data23,image6,position,image7,image8
1776264690-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Indescriptible,Maria n,"Reservamos en este restaurante dejándonos de llevar por las opiniones de TripAdvisor, y fue una decisión más que acertada. Pedimos varios platos pero sin duda los nachos estaban realmente exquisitos. La atención, por supuesto, igual de excelente que la comida. El precio no era especialmente barato (entre 4 personas la cuenta fue unos 110€), pero teniendo en cuenta la calidad...fue un capricho del que no nos arrepentimos y que repetiremos sin duda.","Muchas gracias por sus agradables comentarios. Será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",37 contribuciones,37,Escrita el 12 de agosto de 2018,Escrita el 17 de agosto de 2018,"Badajoz, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/19/ff/c4/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buen mexicano !!!,Carioca_Madrid,"Siguiendo las opiniones de otros usuarios he visitado este restaurante mexicano.
Local pequeño, acogedor y muy bien decorado.
La comida muy buena y buenas cantidades, la carta amplia con bastantes variedades para escoger.
Los precios normales comparando con otros mexicanos.
La atención muy buena, en todo momento pendientes de que todo estuviera correcto.
Desde luego muy buena opción.","Muchas gracias por sus agradables comentarios. Nos alegra que hayan disfrutado de su experiencia, que les hayan gustado tanto nuestra calidad como las ¨cantidades presentadas¨, esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",923 contribuciones,923,Escrita el 9 de agosto de 2018,Escrita el 17 de agosto de 2018,Madrid,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/0e/24/d1/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/5d/8e/42/carioca-madrid.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,EXCELENTE EXPERIENCIA,Noealejandra A,"Nos encantó el sitio , vivimos en el centro y no imaginábamos teníamos tan cerca un rincón auténtico de Mexico!
La comida deliciosa, sabores auténticos mexicanos y de excelente calidad.
El servicio fue extraordinario, fuimos por las buenas críticas que leímos pero sin duda totalmente merecidas ! Repetiremos en breve  !!","Muchas gracias por sus agradables comentarios. Por supuesto que será un placer verles de nuevo. Saludos.
Néstor y Eduardo.",4 contribuciones,4,Escrita el 3 de agosto de 2018,Escrita el 9 de agosto de 2018,4 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Genial,Juliarcm,"Sitio estupendo, comida rica y auténtica y un trato excelente desde el momento de reservar, quede encantada!!","Muchas gracias por sus comentarios. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",1 contribución,1,Escrita el 18 de julio de 2018,Escrita el 25 de julio de 2018,"Pamplona, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Cena con compañeros,Pey G,"Excelente atención , muy buena cocina mejicana de verdad . Ya estuvimos varias veces porque la verdad es que me encanta el lugar.La decoración,  el servicio y trato familiar. Me siento como en casa. Lo recomiendo a todos los amigos y siempre les ha gustado el trato, la atención y por supuesto la comida. Y las Margaritas qu no se me olvide. Deliciosas. Qué volveremos todas las veces que podamos.","Muchas gracias por sus comentarios. Les esperamos de nuevo. Saludos.
Néstor y Eduardo.",15 contribuciones,15,Escrita el 18 de julio de 2018,Escrita el 25 de julio de 2018,A Laracha,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,"Un lugar para volver, un lugar para relajarse y comer bien.",JMRR70,"El viernes noche he tenido la oportunidad de ir a cenar con un grupo de amigos. Tenía buena referencias y lo cierto es que mi conclusión mejora incluso las referencias.
Está muy cerquito del Viaducto por lo que se puede llegar desde Plaza España por ejemplo dando un agradable paseo.
El lugar es pequeño y tremendamente acogedor.
La atención estupenda, cordial, profesional.
Y de la comida sólo puedo decir que de las que engancha.
Los tacos estupendos, las enmoladas de 10, el ceviche igual, y así todo.
Si no cambian no será ni la primera ni la última vez....una referencia para acudir muy habitualmente. Enhorabuena.","Muchas gracias por sus agradables comentarios. Para nosotros es un placer atenderles y ofrecerles nuestra original y tradicional cocina mexicana. Y poner todo nuestro empeño en que su experiencia sea exitosa. Les esperamos de nuevo. Saludos.
Néstor y Eduardo.",179 contribuciones,179,Escrita el 14 de julio de 2018,Escrita el 25 de julio de 2018,"Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Comida Mexicana,ConxaC,Excelente! Comida típica mexicana. Ambiente relajado. Los dueños muy atentos y muy buen trato. Lo recomiendo. Volveremos.,"Muchas gracias por sus comentarios. Nos alegra que su experiencia en nuestro restaurante haya sido un éxito. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",1 contribución,1,Escrita el 10 de julio de 2018,Escrita el 25 de julio de 2018,"Barcelona, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/66/3e/18/conxac.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Cena deliciosa,Adriana P,"Excelente lugar,platos exquisitos y con buen precio.Hay que destacar la atención ,que fue muy buena y cordial.Para volver nuevamente.","Muchas gracias por sus comentarios. Con gusto les atenderemos de nuevo. Saludos.
Néstor y Eduardo.",17 contribuciones,17,Escrita el 9 de julio de 2018,Escrita el 11 de julio de 2018,17 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,delicioso,pulgitabf115,"comida mexicana auténtica y riquísima, ideal para ir con familia y amigos, bien ambientado y comida deliciosa 
definitivamente lo recomiendo","Muchas gracias por sus comentarios. Será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",3 contribuciones,3,Escrita el 1 de julio de 2018,Escrita el 11 de julio de 2018,"Comunidad de Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/88/f6/5a/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
1776264690-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Excelente,BrunoDGZ,El mejor mexicano de Madrid. Trato excelente y comida exquisita. La salsa de habanero es espectacular. Volveremos.,"Muchas gracias por sus comentarios. Será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",2 contribuciones,2,Escrita el 24 de junio de 2018,Escrita el 4 de julio de 2018,"Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,
