web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,image,image2,image3,image4,image5,position
1776265121-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Perfecto! Segunda vez aquí y no decepcionó!!!,TeresaTeixeira,"Excelente restaurante! Gran comida, gran personal - servicio, carta de vinos también muy bueno! Y el pannacotta... ¡Simplemente maravilloso!","Barcelona, España",40 contribuciones,40.0,Escrita el 2 de marzo de 2025,,,,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/54/34/bd/teresateixeira.jpg?w=100&h=-1&s=1,
1776265121-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,,,,,,,,Explora ahora,Descubre Egipto,Descubre por qué a los viajeros como tú les encanta Egipto,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,,,
1776265121-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Volveré a,Antonia R,"Un auténtico descubrimiento este restaurante. No se por dónde empezar. ..comencé pidiendo unos vermuts… y cada uno que me sirvieron con su toque distintivo o y su detalle (barrica y otro de eneldo). Los puerros ES-PEC-TA-CU-LA-RES. Y como siempre digo, las patatas bravas dicen si tienes que fiarte del restaurante para el siguiente paso (las croquetas). Esas patatas bravas superaron con creces mis expectativas y el detallazo del restaurante de traerme la croqueta de boletus hizo que me fiara aún más de ellos. Esas patatas bravas, que aún siendo de otro tubérculo de la familia, permitía saborear todos los matices de la salsa (y el toque picante). Y respecto a la croqueta… (ainssss mi debilidad por las croquetas) auténticamente boletos de un sabor deliciosa y una textura suave y jugosa. Mis acompañantes pidieron ajoblanco de anacaldos (riquísimo), ensaladilla de pollo asado, provolone con boloñesa de chorizo y bienmesabe (adobo)… todos callados comiendo (por tanto, buena señal).
Yo me pedí una corvina al horno que con ese toque de vinagre (que al principio me llamó la atención) me sorprendió como potenció el sabor de la guindilla en la salsa junto con las patatas panaderas.
Seguimos comiendo… pero ya aviso que es MUY MUY MUY RECOMENDABLE
Intentad pedir (si podéis) los 4 postres mini para que comparéis… aunque para mí la campeona ha sido la pannacota.","Provincia de Córdoba, España",3 contribuciones,3.0,Escrita el 1 de marzo de 2025,,,,,Calidad/precio,Ambiente,Servicio,Comida,Lo ideal es probar lo máximo  aunque sea compartiendo.,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1776265121-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Excelente,Jantoniopa,"Acogedor, muy buena relación calidad y precio, pedimos fuera de carta y no hubo ninguna sorpresa, buena carta de vinos, el tuétano espectacular y según mi esposa la panacota la mejor que ha probado","Navalcarnero, España",2 contribuciones,2.0,Escrita el 23 de febrero de 2025,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/fd/6a/03/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,
1776265121-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Excelente restaurante en Madrid,sue,"Excelente restaurante pequeño y acogedor. Alfonzo, el servidor, era maravilloso y pudimos conversar en Spanglish. Mi gin tonic era de muy buen tamaño. Pedí uno de los especiales nocturnos, pargo rojo con salsa bearnesa junto a rodajas de patata. Pan crujiente con aceite de oliva y finalmente un café con leche. No hay lugar para el postre. Todo estaba cocinado a la perfección. Nunca había comido aquí antes, así que hice una reserva. Muy recomendable","Myrtle Beach, Carolina del Sur",18 contribuciones,18.0,Escrita el 18 de febrero de 2025,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/e8/4d/3b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/e8/4d/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/e8/4d/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,
1776265121-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Increíble experiencia gastronómica,Andrina R,"¡Increíble! La comida era increíble. El camarero era muy agradable y amable. Eran flexibles y el ambiente era tranquilo y agradable. 
No puedo decirlo lo suficiente: nos encantó la comida. El chef es muy talentoso y agradable.",8 contribuciones,8 contribuciones,8.0,Escrita el 10 de febrero de 2025,,,,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1776265121-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Excelente,Juan Carlos L,"Es un restaurante maravilloso, cocina muy bien elaboradora, se come muy bien, precio economico, el chef y su equipo es pura hospitalidad, mi amigo es celiaco y sin problema, no hicieron un menú adaptado para compartir y un maridaje de vinos de Jerez porque nos encanta la estos vinos, Hernan el dueño que sin problemas y bienvenidos a vuestra casa.
Es un experiencial maravilloso!😍😍",6 contribuciones,6 contribuciones,6.0,Escrita el 8 de febrero de 2025,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,
1776265121-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,,,,,,,,Leer ahora,6 viajes emblemáticos por carretera alrededor del mundo,"Algunos de mis recuerdos favoritos de un viaje son de los días que pasé haciendo paradas en estaciones de servicio retro y restaurantes a lo largo de la histórica Ruta 66, o bien viajando por carretera en la zona rural de Casey, en el estado de Illinois, para ver la impresionante colección de los objetos ""más grandes del mundo"" de la ciudad. (¿Cómo me voy a perder el buzón más grande del mundo?)",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/bd/f5/74/caption.jpg?w=400&h=400&s=1&cx=1920&cy=1080&chk=v1_d34c05b86a448200f657,,,,,
1776265121-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Maravillosa comida y servicio!,Brenda D,"Encantador restaurante fuera de los caminos trillados (no turístico) tuvimos varias de las tapas, ensalada, bistec, y el plato de berenjena frito. Todo era increíble, incluyendo el pan crujiente y aceite de oliva. Personal amable y servicial. ¡Una gran experiencia!",9 contribuciones,9 contribuciones,9.0,Escrita el 26 de enero de 2025,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ab/2b/ff/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ab/2c/00/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1776265121-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23547193-Reviews-La_Burbujeria-Madrid.html,Cena para 2,Ln H,"La comida estaba deliciosa, el ambiente es relajado y tranquilo, tienen una buena selection de vinos y cuentan con somelier. La atención es buena. Volveria.",15 contribuciones,15 contribuciones,15.0,Escrita el 25 de enero de 2025,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/a5/09/5a/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
