web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,data15,data16,data17,data18,data19,position,data20
1776265531-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,"Hemos estado en dos ocasiones,",LOM090483,"Hemos estado en dos ocasiones, y nos ha encantado, un bar con encanto, siempre nos han atendido genial. Tanto las tostas, las empanada como las pizzas buenísimo todo.
Repetiremos seguro.",157 contribuciones,157,Escrita el 11 de enero de 2020,"Valladolid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/92/cc/f5/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/92/cc/f6/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Sin duda para repetir,G M,"Sitio pequeño pero con mucho encanto. Bien atendido y personal muy agradable. Música de fondo agradable que permite conversar sin gritar. Quizás un poco lento, pero se puede perdonar por la calidad de lo presentado. Empanadas y tostas muy ricas. Aceptable carta de vinos de diferentes DO. Precios buenos. Seguro que repetiremos y que lo recomendaré.",8 contribuciones,8,Escrita el 3 de enero de 2020,"Santander, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7b/42/94/photo0jpg.jpg?w=300&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Tinto y tapas,Giulia S,"lugar muy acogedor para comer deliciosas empanadas.
excelente cerveza estrella galicia y ribera del duero excelente vino.
Local muy recomendable",2 contribuciones,2,Escrita el 31 de diciembre de 2019,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f7/2f/05/giulia-s.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Cumple expectativas,JMS20,"Se trata de un local pequeño y cercano a Atocha. El lugar está bien, la comida rica y cumple con las expectativa. Los camareros son agradables.",23 contribuciones,23,Escrita el 26 de diciembre de 2019,23 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4f/ad/3e/avatar.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Sabroso . Con poca gente,Luis Silva 31,"Cerveza lista , lugar chico pero perfecto ! Poca gente , servicio rápido con un menú de tapas con un toque de cocina argentina .",27 contribuciones,27,Escrita el 24 de noviembre de 2019,"San Antonio, Texas","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/1e/f2/78/photo0jpg.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/43/52/65/luissilva31.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Empanadas.,Jota2015Ce,Agradable taberna para tomar un vino o una cerveza y probar alguna de sus múltiples empanadas. Personal bastante seco.,10448 contribuciones,10448,Escrita el 20 de noviembre de 2019,"Madrid, España",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d0/d5/1d/jota2015ce.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Por casualidad,YPili C,"No lo conocia, fue imprevisto totalmente, pero grato. Entramos y era un lugar pequeño y estaba lleno. El camarero nos comento que tenian otro local en la siguiente calle y nos acompaño a el. Tinto y tapas 2. Nos ofrecieron bajar al salon que es una cueva de las que hay en Madrid y todo agradable, el trato de camareros, el sitio y las tapas fenomenales. Pedimos empanada arabe y dos tostas, una de fua que estaban espectacular. Recomendable sin duda.",9 contribuciones,9,Escrita el 17 de noviembre de 2019,9 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,normalito,v s,"El local para los camareros fatal, tienen que subir y bajar constantemente y eso hace ( creo yo) que el servicio sea muy lento. Tomamos dos empanadas, a casi 4 euros cada una ,dos vinos, dos cervezas,y una tosta de solomillo,30 euros todo ... relación calidad precio ? A mi gusto caro,  la tosta no estaba mal...  volveremos dentro de un tiempo a ver si sigue abierto y ver si tienen nueva carta y mantienen precios",156 contribuciones,156,Escrita el 5 de noviembre de 2019,"Madrid, España",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f0/60/f5/tinto-y-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f0/60/f7/tinto-y-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/bd/5d/6f/v-s.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Cutre pero bien,Fco. Javier,"Local sencillo, tirando a bastante cutre aunque con cierto encanto.
De limpieza anda algo justito. 
La carta de vinos es relativamente corta pero correcta. 
Ensaladas, tostas, etc.  muy bien: en la cocina le ponen imaginación y buen hacer.
Los precios son correctos a pesar de estar en un barrio donde debe haber muchas tentaciones de abusar del turista despistado.
Al servicio le falta un poco de profesión.
En general es un sitio recomendable con una buena relación calidad/precio.",131 contribuciones,131,Escrita el 9 de octubre de 2019,"Sant Cugat del Vallès, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Recomendable pero no en domingo de tarde,Madrileña,"El sitio no es muy grande, pero vale la pena probar las empanadillas y para los que no tomamos alcohol estamos de suerte, ofrecen cerveza sin alcohol de la marca Estrella. Eso sí, mejor no ir un domingo a partir de las 20 horas, cierran cocinas. El trato al público debería mejorar.",8 contribuciones,8,Escrita el 7 de octubre de 2019,8 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,
