web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,image3,data18,data19,data20,data21,image4
1776265897-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Estupendo restaurante y trato,Tatys S,Exelente  comida muy buena i el trato excelente de parte del camarero muy majo i buen servicio de parte de Alam volveremos,2 contribuciones,2.0,Escrita el 10 de octubre de 2019,2 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8e/dc/97/everest-tandoori-nepali.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Comida india muy buena,Anlolo,"Vamos a menudo a este restaurante indio porque nos encanta su cocina y por su trato amable. Las samosas, el pollo tandoori y el chicken mango están de rechupete. Muy recomendable",15 contribuciones,15.0,Escrita el 6 de octubre de 2019,15 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Cumpleaños,LoveTravel511737,"Decidimos ir a este restaurante por las buenas opiniones y porque mi hermano lo conocia y le gusto
Buen sitio, comida rica, amabilidad por parte de su personal
Celebramos el cumpleaños de mi padre, para que saliera de sus habitos (comida) y probase cosas nuevas y..... LE GUSTO!!! 
Repetiremos 😊😊",1 contribución,1.0,Escrita el 27 de septiembre de 2019,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,"Restaurante auténtico, muy recomendable!",Alejandro R,"Tuvimos que esperar un poco porque estaba lleno, recomendable reservar antes. La comida buenísima y buen precio, volveremos!",24 contribuciones,24.0,Escrita el 15 de septiembre de 2019,24 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3e/b0/bc/photo0jpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/34/f2/bd/alejandro-r.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Repetimos y excelente de nuevo.,Alberto S,"El pasado viernes fuimos a cenar aquí, recordando una antigua experiencia en este mismo lugar que nos encantó. Eramos cuatro y esta vez estuvimos en la terraza.
La comida extraordinaria, y la atención de todos los camareros y el encargado muy buena, aconsejando muy bien sobre sus platos y cantidades, muy amables y simpáticos.
Volveremos a repetir!.",8 contribuciones,8.0,Escrita el 8 de septiembre de 2019,"Seseña, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Autentica comida nepalí.,Antonio C,"Decoración ecléctica, buen servicio. la carta es una sucesión de platos de cordero, pollo y langostinos cocinados con diferentes salsas y grados de picante. Buenos arroces de guarnición y fantásticos panes de ajo y queso.",95 contribuciones,95.0,Escrita el 4 de septiembre de 2019,"Madrid, España",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/43/d3/c7/acastanof.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Indio muy bueno,Alfonso M,"Comimos cuatro personas, me habían hablado bien y tengo que decir que muy bien.
Los dos tipos de pan, los curries, y el tandoory riquísimos.
También probamos unas tortillitas de cebolla y empanadillas muy buenas.
Con cerveza para los cuatro y cafés, un precio muy asequible (60 euros)
Lastima la decoración, todo lo demás muy bien.",104 contribuciones,104.0,Escrita el 24 de agosto de 2019,104 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Sin lujos pero comida 10,Alex N,"Sino hubiera ido directamente recomendado, quizá ni hubiera entrado ni me hubiese llamado la atención este restaurante. Situado en el barrio de Hortaleza, Evesrest Tandoori ofrece una gastronomía india de alto nivel y calidad. Platos típicos y elaborados, al igual que te puedes encontrar en los hindúes de lujo de la capital, pero sin tener que pagar ese plus por el nombre. Recomendable 100%. Muy económico",162 contribuciones,162.0,Escrita el 24 de agosto de 2019,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ec/93/16/photo0jpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/eb/2e/9f/caption.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Excelente,Sergio P,"La mejor atención , la comida es de película sabores e
Intensos y equilibrados , solo para exigentes
, para recomendar sin escusas ,",4 contribuciones,4.0,Escrita el 21 de agosto de 2019,4 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e2/42/2f/postre-casero.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,
1776265897-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Buenísimo,Ilmiomondozgp,No sabía que cenar y me han ayudado mucho . Personal muy agradable y cena óptima . Langostinos y garbanzos deliciosos . Regresaré pronto.,48 contribuciones,48.0,Escrita el 17 de agosto de 2019,España,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/d3/3b/c5/photo0jpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a6/01/10/ilmiomondozgp.jpg?w=100&h=-1&s=1,,,,,,,,
