web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,position,image,image2,image3,data4,data18,data19,data20
1775471055-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Volveremos,Manuel S,"Taberna Más al Sur – Un acierto seguro

La Taberna Más al Sur tiene todo lo que se busca en una buena taberna de barrio: comida casera con sabor, cañas bien tiradas y un ambiente cercano que te atrapa. Sitio sin pretensiones pero con mucho encanto. Más al Sur… y más que recomendable.",52 contribuciones,Escrita el 13 de julio de 2025,52 contribuciones,52,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/75/e3/a5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,
1775471055-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Lugar agradable donde se come bien,Charlotte,"Estaba viajando sola. Todo superbien. Tenía ganas de dar una vuelta y así llegue en esa Taberna. Comida excelente, ingredientes superfrescos, sitio acogedor, me gustó la música, y la gente que te atienden muy amables (andrés 👌)",6 contribuciones,Escrita el 1 de julio de 2025,6 contribuciones,6,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/57/fb/e9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,
1775471055-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Comida rica,娜 潘,"Muy rico todo, sober todo la atencion de Erik volvereemos la sangria y tapas espectacular recommends los choir ones y ropa vieja",1 contribución,Escrita el 30 de junio de 2025,1 contribución,1,,,,,,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,
1775471055-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Genial,XIANGYU,"Experiencia genial, la comida, la ubicación, el servicio, todo está muy buena. La tienda está limpia, el chico es muy amable. Recomendable.",1 contribución,Escrita el 23 de junio de 2025,"Reikiavik, Islandia",1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,
1775471055-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Comida y trato excelentes,ikramino,"La comida increíble, muy buen ambiente y un trato exquisito. Aunque no somos de Madrid, volveremos sin duda. Una experiencia más que recomendable.",2 contribuciones,Escrita el 21 de junio de 2025,"Melilla, España",2,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,
1775471055-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Excelente atencion y comida muy sabrosa,Silvana S,"Platos muy buenos y excelente atencion! Buenisimo para refrescarte post museo reina sofia, recomendado 100%. Reomendamos la sangria ☺️",3 contribuciones,Escrita el 16 de junio de 2025,"Santiago, Chile",3,,,,,,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,
1775471055-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Era primera comida español en España y me dió muy buena experiencia y todo me gustó y atención de los meseros también 💖,Yujeong H,Buen trabajo y los meseros nos dan mucha atención 💖 muchas gracias por todo además la comida estaba deliciosa ✨ todo está limpio también 👍🏻,2 contribuciones,Escrita el 11 de junio de 2025,2 contribuciones,2,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/21/27/e3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,
1775471055-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Cena de Cumple en Taberna Más Al Sur,Cecilia G,"Me recomendaron la taberna y la elegí para celebrar mi cumpleaños con gente muy especial; me ha encantado la experiencia; la comida sabrosa y bien presentada, el ambiente multicultural y agradable, y el personal súper!!! Tuvieron el detalle de ponerme una vela en la tarta en mi noche especial! Gracias!!!",5 contribuciones,Escrita el 10 de junio de 2025,5 contribuciones,5,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/1e/23/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,
1775471055-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Great vibes and musíca divertido!,Emily M,Fue muy divertido y la musica me gustó mucho. la comida es muy delicioso! Gracias por el buen servicio! Mis amigos americanos les gustaron tambien!,1 contribución,Escrita el 28 de mayo de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,
1775471055-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8396325-Reviews-Taberna_Mas_Al_Sur-Madrid.html,Un lugar para comer,Diego M,"Super amables, la comida riquísima. Todo muy bien. Los drinks también recomendables. La musica. Esta climatizado que no es poco decir",1 contribución,Escrita el 27 de mayo de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,
