web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,data17,data18,data19,data20,data21,data22,image2,position
1776266373-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,"Jorge el nuevo un tipo muy simpático!! Local amable, comida buena!! Hemos estado muy a gustona!!!",Ana S,"En cualquier momento es una buena ocasión para venir a tomar algo
Hemos ido un grupo de gente y hemos estado muy bien 😃 el camarero super majo",9 contribuciones,Escrita el 26 de octubre de 2024,,,,,"Cadaqués, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,9,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Buena comida y muy buen servicio.,FrequentFlier71468,"Un sitio totalmente recomendable, muy buena comida y Giovana nos atendió de manera muy profesional y un trato muy cercano. Totalmente recomendable.",3 contribuciones,Escrita el 19 de octubre de 2024,Calidad/precio,Ambiente,Servicio,Comida,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Gran Sitio,Roam21785874407,"excelente.Buena comida y bebida.
Trato magnífico del personal.
Sitio muy recomendable.
Ensalada de pimientos muy rica
Huevos estrellados magníficos
Y tata de queso fuera de serie",1 contribución,Escrita el 27 de septiembre de 2024,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Muy bueno,REYES M,"Todo genial, el servicio estupendo y el cochinillo sensacional, además te ponen un mandil, lo cortas y después tiras el plato, cosa tradicional en Segovia, los camareros súper atentos y amables, siempre pendientes de todo.",1 contribución,Escrita el 27 de septiembre de 2024,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Genial,Mayi O,"Los camareros majísimos y la comida esquisita. Si volvemos a la zona, comeremos aquí sin duda, nos ha gustado todo mucho. Gracias",6 contribuciones,Escrita el 13 de septiembre de 2024,,,,,6 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,6,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Rica cena y buena atención en una noche de Agosto,Pilar A,La calidad de la comida exquisita y la atención de Jorge excelente. Un chico muy agradable y atento en todo momento. Muchas gracias!!!!,2 contribuciones,Escrita el 8 de agosto de 2024,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Prohibido ir sin probar la tarta de queso 😋,Teresa Adalyd L,"El trato excelente, la comida fenomenal!! Y los postres para no dejarlo escapar en especial la tarta de queso una delicia!!",1 contribución,Escrita el 3 de agosto de 2024,,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,0,,,,,,,,,
1776266373-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Top,beatrizs214,La comida se creación propia buenísima (pate y ensalada de bacalao) y el servicio espectacular. Muchas gracias! Volvemos 100%,4 contribuciones,Escrita el 1 de agosto de 2024,Calidad/precio,Ambiente,Servicio,Comida,4 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",4,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,Una terracita donde descubrir platos sorprendentes y espectaculares! Aconsejable 100 %,Vicenta V,"Personal de 10, profesional y amable. 
Platos originales y sabores espectaculares. El postre para rematar, tarta de queso que nada tiene que envidiar a las mejores …. Deliciosa!!! 
Volveremos sin duda. La carta tiene  muchos platos que prometen y que me gustaría probar.",1 contribución,Escrita el 31 de julio de 2024,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,,1,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,,,
1776266373-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d991697-Reviews-Cafe_Astral-Madrid.html,La comida y el servicio de 10,Angelica A,"Javier nos atendió y fue de 10 , estábamos de paso por Madrid y nos guardaremos el sitio para volver 🤗 la comida espectacular",1 contribución,Escrita el 27 de julio de 2024,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1,Leer más,0,,,,,,,,,
