web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,position,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,data17,image11,image12,image13,data18,data19
1777309766-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Un descubrimiento,IBV,"Comida fusión que sorprende y maravilla. Servicio implercable, atento y cuidado. Te tratan como un gran cliente, he estado ya 5 veces y es hoy por hoy uno de los mejores de Madrid en comida fusión",8 contribuciones,8,Escrita el 6 de abril de 2022,8 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/50/0d/d3/ines-b.jpg?w=100&h=-1&s=1,,,,,,
1777309766-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Cocina fusión con sentido,Raquel N,"Espectacular.  Cocina fusión con sentido, sabores sorprendentes y gran oferta líquida…

Hace años que lo visitamos, aunque siempre a la carta, así que esta vez hemos probado el menú degustación y hemos comprobado el salto subidón que han dado.",4825 contribuciones,4825,Escrita el 27 de marzo de 2022,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/f2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/ef/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/ee/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/f1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/ea/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ae/dc/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/12/98/ff/rakel-nm.jpg?w=100&h=-1&s=1,,,,,,
1777309766-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,BRUTAL!,Soniania,"Experiencia brutal de comida fusión, sabores distintos, con ingredientes desconocidos para mi, toda una experiencia. Edu nos aconsejo muy bien, nos dejamos llevar y pidió lo que él quiso, y acertó pero de qué manera! La sommelier también, un vino muy rico. La atención fue muy buena por parte de todos
El sitio es muy bonito, con decoración de diferentes países y no es ""pomposo"" es más casual, que era lo que nosotros queríamos,a sí que para mi, un 10! todo un descubrimiento!",7 contribuciones,7,Escrita el 15 de febrero de 2022,7 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,,,,,,,,,,,,,,,
1777309766-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Explosión de sabores,Valerieplus,"La comida y el servicio excelentes,  nos encanto todo lo que probamos.
El precio es elevado pero vale la pena, 
Volveremos sin duda.",20 contribuciones,20,Escrita el 8 de febrero de 2022,20 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/08/53/64/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/08/53/65/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/08/53/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/08/53/63/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,
1777309766-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Tour gastronómico,JavyFer,Una grata sorpresa. Comida fusión bien ejecutada con equilibrio de sabores y matería primera de excelente calidad,10 contribuciones,10,Escrita el 7 de febrero de 2022,"Medina de Pomar, España",Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,
1777309766-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Fusión que no te puedes perder,Alex Vonrez,"Este sitio es de los mejores en cuanto a cocina fusión, sabores muy potentes y precio nada desorbitados para la calidad del producto y de las elaboraciones.
Tienen un menú degustación, y también puedes pedir a la carta. El servicio es atento y cercano.
Un must si quieres darle un homenaje a tu paladar y a descubrir y poner a prueba todos tus sentidos!!",24 contribuciones,24,Escrita el 2 de febrero de 2022,24 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/f4/f0/e6/alexva851cl.jpg?w=100&h=-1&s=1,,,,,,
1777309766-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Chapeau!!,carmen g,"Un viaje de sabores, tanto el trato del personal como la comida es inmejorable, es la cuarta vez que voy a este restaurante y estoy deseando volver, es una demostración de querer hacer bien las cosas
Chapeau!!",18 contribuciones,18,Escrita el 26 de noviembre de 2021,18 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,
1777309766-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Dan lo que prometen,Margariiiiiita,"Fusión a tope y auténtica, nos encantó. Nos dejamos aconsejar y la elección fue buena. Los platos muy bien explicados. El pisco nikkei puso la guinda a la comida. Salimos a unos 50 euros por persona. El local me resultó algo incómodo.",192 contribuciones,192,Escrita el 22 de noviembre de 2021,"Madrid, España",,,,,,,Leer más,,0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e9/02/5f/margariiiiiita.jpg?w=100&h=-1&s=1,,,,,,
1777309766-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Brutal!,Roscón,"Es una experiencia tan excelente que te olvidas de que las sillas no tienen reposabrazos. Es la segunda vez que vamos y volvimos a pedir el menú 360 con el maridaje.  Varios platos habían cambiado. No podré repetir el nombre de todos los platos porque están muy elaborados,  llevan mucho trabajo detrás y mi descripción nos les haría justicia.  Los camareros son parte de esta estupenda experiencia: te explican todo,  el maridaje también y me ha gustado ver a una mujer hoy por allí. 
Me ha encantado la ostra, el tartar de zamburiña y el segundo postre.
El baño estaba limpio pero es algo pequeño. 
Pagamos unos 180 euros.",2185 contribuciones,2185,Escrita el 14 de noviembre de 2021,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a3/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a9/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a4/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a6/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a7/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a5/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a8/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a1/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/c8/a2/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/8c/41/2e/caption.jpg?w=100&h=-1&s=1,,,,,,
1777309766-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Excelente opción. Un gran acierto,Carmen,"Tomamos el menú degustacion y es absolutamente excelente, mezcla de sabores, colores haciendo una experiencia gastronómica inolvidable. Resaltar la profesionalidad del equipo que se vuelcan en quensus clientes disfruten, son excelentes.",10 contribuciones,10,Escrita el 31 de octubre de 2021,10 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,
