web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position2,image,image2,image3,data20,data21,data22,name
1777310097-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy buena comida y atención.,fernando,"Excelente comida y atención. Es un sitio céntrico y accesible. Salimos muy satisfechos. Nuestra camarera, Rocío, muy atenta y simpática.","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste de tu visita a nuestro restaurante y con la atención de nuestra compañera Rocío. Estaremos encantados de recibirte de nuevo muy pronto.
Saludos.",1 contribución,1.0,Escrita el 6 de agosto de 2024,Escrita el 10 de agosto de 2024,"Madrid, España",SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Probar nueva hamburguesa,Ruben M,"Rocío, la camarera muy amable y atenta además de educada.
La hamburguesa a pesar de estar rica, esta sobrevalorada y el precio demasiado alto.","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste con la atención de nuestra compañera Rocío. Nos encantará recibirte de nuevo siempre que desees.
Saludos.",31 contribuciones,31.0,Escrita el 6 de agosto de 2024,Escrita el 10 de agosto de 2024,"Mérida, España",SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy buena experiencia,Álvaro F,Las hamburguesas son sabrosas y jugosas y el servicio de Rocio ha sido rápido y amable. El ambiente relajado con un buen hilo musical.  Recomendable sin duda.,"Muchas gracias por tu comentario. Nos complace saber que disfrutaste con nuestros productos y con la atención de nuestra compañera Rocío. Estaremos encantados de recibirte de nuevo muy pronto.
Saludos.",3 contribuciones,3.0,Escrita el 6 de agosto de 2024,Escrita el 10 de agosto de 2024,3 contribuciones,SteakBurger C,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c7/d7/b9/alvaro-f.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Excelente lugar,Héctor,"Nos atendio de manera excelente Rocio, la comida magnífica y a buen precio, los baños impecables y tienen la apertura de baños con la mano","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste de tu visita a nuestro restaurante. Nos encantará recibirte de nuevo muy pronto.
Saludos.",2 contribuciones,2.0,Escrita el 6 de agosto de 2024,Escrita el 10 de agosto de 2024,"Bolonia, Italia",SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Reseña,Aimar L,"Un sitio ideal para comer, cenar o lo que haga falta comida de diez, bastante variación y camareros muy amables siempre atentos por si necesitas ayuda con algo. Definitivamente recomiendo el sitio.","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste de tu visita a nuestro restaurante. Nos encantará recibirte de nuevo muy pronto.
Saludos.",1 contribución,1.0,Escrita el 5 de agosto de 2024,Escrita el 6 de agosto de 2024,1 contribución,SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Carne 100%,33miguel,"Excelente!!!
Todo buenísimo y Rocio nuestra camarera, estuvo atenta en todo momento.
Es una experiencia de 10, ni solo por el servicio sino por su maravillosa carta donde tiene excelentes platos.
Volveremos!!!","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste con la atención de nuestra compañera Rocío. Nos encantará recibiros de nuevo siempre que deseéis.
Saludos.",104 contribuciones,104.0,Escrita el 4 de agosto de 2024,Escrita el 5 de agosto de 2024,"Gran Canaria, España",SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9f/3c/36/33miguel.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy buena!!,paocastano,"Rocio nos atendió súper bien, la comida deliciosa y rápido el servicio. 
La carne de buena calidad y el lugar limpio y fresco","Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis de vuestra visita a nuestro restaurante. Estaremos encantados de recibiros de nuevo muy pronto.
Saludos.",1 contribución,1.0,Escrita el 4 de agosto de 2024,Escrita el 5 de agosto de 2024,1 contribución,SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/03/41/57/paocastano.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Buena atencion de fiorela,Carlos Antonio T,"Melting chesse t El mejor amburghese que he comodo, lo recomiendo, buen servicio y atencion al cliente e specialmente de la camera fiorela","Muchas gracias por tu comentario. 
¡Hasta pronto!",1 contribución,1.0,Escrita el 26 de julio de 2024,Escrita el 27 de julio de 2024,1 contribución,SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Joya oculta...,Mike Thompson,"Vale la pena el viaje en taxi desde el centro. 
Tarifa de primera categoría - para toda la familia. 
Buena relación calidad-precio y encantador restaurante fresco. 
Personal muy atento.","Thank you so much for your review. We are glad to know you enjoyed your meal at our restaurant.
See you soon.",2 contribuciones,2.0,Escrita el 24 de julio de 2024,Escrita el 26 de julio de 2024,"Shanagarry, Irlanda",SteakBurger C,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/e4/26/f8/mikerthompson.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310097-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,"Muy cómodo, muy buena atención, en especial  Rocío, muy atenta a todo,hace que te sientas muy cómodo.",Goyo P,"Sitio muy agradable,bonito  diseño 
Y la comida está muy rica,es también  muy tranquilo, no suele haber  muchas aglomeraciones","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste de tu visita a nuestro restaurante. Estaremos encantados de recibirte de nuevo siempre que desees.
Saludos.",1 contribución,1.0,Escrita el 21 de julio de 2024,Escrita el 26 de julio de 2024,1 contribución,SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
