web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,position,image3,image4,image5
1777311203-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Buenisimo,Lain N,He estado con mi mujer y la verdad que me ha gustado mucho. Comida diferente y muy rica. El personal amable y servicial todo lo que preguntamos nos respondió amablemente eso si estábamos solos porque era un día entre semana y con un tiempo desagradable. El sitio es muy pequeño pero cuando entras ya se ve así que cada uno decide si se queda o no pero probando la comida merece la pena quedarse. Lo apunto en mi lista de locales para volver.,"Viena, Austria",15 contribuciones,15.0,Escrita el 2 de marzo de 2018,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1777311203-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,,,
1777311203-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,A tope,Paula2409,"Fuimos una noche de viernes con reserva un grupo de amigas, el sitio nos lo habían recomendado pero no lo conocíamos, nos sorprendió xq el salón p cenar es minúsculo con solo 2 mesas y pensamos q sería un fracaso de cena, q equivocación !!! Fue fantástica, todo muy rico pero muy muy rico y con un precio más q razonable. Recomiendo la ensalada de burrata, los langostinos, las berenjenas y los postres.","Madrid, España",215 contribuciones,215.0,Escrita el 1 de marzo de 2018,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e5/f7/21/paula2409.jpg?w=100&h=-1&s=1,,,,
1777311203-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"Si quieres cambiar las bravas, las croquetas o los calamares por otro tipo de tapa",xerra88,"Acertarás si vienes aquí. La comida está muy buena y el ambiente es bastante acogedor. Todo acompañado de buena música (rock). Es normal que esté lleno asi que si puedes, intenta ir temprano :)","Madrid, España",50 contribuciones,50.0,Escrita el 24 de febrero de 2018,,,,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,
1777311203-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,El Rincón de La Berenjena,Alberto C,"El sitio ya lo conocía de haberlo visto por internet y de ver como recibía galardones durante estos años, sabíamos que iba a ser una apuesta segura. La primera impresión desde fuera, en la calle, la verdad es que sorprende, pero no a malas, desde fuera parece un sitio muy pequeño y poco cuidado, pero cuando entras, te enteras de que es así por su magia por su encanto, entonces es cuando te sorprende aún más. El sitio es pequeño pero muy cómodo y bien bonito, es necesario reservar tiene pocas mesas y también tiene una barra dónde también te sirven ahí para comer. El nivel de atención es muy bueno y agradable, nada que reprochar. La comida es muy buena, pedimos un falso Risotto, una carrillada y unos langostinos rellenos de queso y para terminar mousse de queso y un Tierra. El precio es normal tirando a caro pero se paga, también he de decir que pedimos una botella de vino blanco de la casa, excelente por cierto. Un 8/10.","Madrid, España",65 contribuciones,65.0,Escrita el 23 de febrero de 2018,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
1777311203-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"Rico, rico",Carmen M,Excelente opción para un tapeo con calidad y con sabores diferentes. Hemos estado varias veces y no defrauda.,6 contribuciones,6 contribuciones,6.0,Escrita el 20 de febrero de 2018,,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,
1777311203-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"Excelente comida, excelente servicio",ParisViajero,"Habíamos estado hace más de un año y no hemos podido repetir, por problemas de reserva, hasta la semana pasada. Esta vez ha resultado tan bien como la otra. Hemos probado otros platos muy ricos en un ambiente estupendo. Ahora nos ofrecieron un tinto de Jumilla muy agradable -quizás un poco alto de graduación-: de la bodega Juan Gil.
Genial la mujer que nos atendió. Estupendo el rodaballo y... las berenjenas, claro. Una pena que el local no sea un poco mayor.","Oviedo, España",607 contribuciones,607.0,Escrita el 14 de febrero de 2018,,,,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/6f/85/3d/parisviajero.jpg?w=100&h=-1&s=1,,,,
1777311203-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,,,,,,,,Leer ahora,Saborea el mundo desde una sola ciudad: Londres,"Londres puede ofrecer mucho más que pescado con patatas fritas (“fish and chips”) o empanada y puré. Al caminar por una tranquila calle adoquinada, es posible que descubras una trattoria que prepara pasta fresca, ideal para los amantes de la gastronomía del sur de Italia. Si sigues avanzando, encontrarás un restaurante que ofrece unos de los mejores dumplings bañados en chile de la ciudad. ¿Y si vas a ese lugar del que todo el mundo habla en Brixton Village? ¡Te transportará a otro continente!",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/c7/e2/df/caption.jpg?w=400&h=400&s=1&cx=3360&cy=2240&chk=v1_7ef5b001f86a768787d6,,,,,
1777311203-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Segunda visita,Letowi,"Era la segunda vez que íbamos y repetimos porque en la primera visita nos quedamos con ganas de probar más platos... esta vez anduvimos más rápidos y reservamos mesa y fue un error, es un comedor minúsculo en el que solo hay 2 mesas al lado de la cocina, por comer ahí, cada plato que pides es un euro más caro, y para mí pierde un poco la esencia de comer en la barra. No obstante, los platos estaban buenos y lo mejor el trato del personal","Santurtzi, España",17 contribuciones,17.0,Escrita el 6 de febrero de 2018,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,
1777311203-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Berengenas,2carlospal,"Su nombre es lo que degustamos en este local, con buena presentación y rico. Buen ambiente, junto con platos interesantes de los cuales
 daremos cuenta la próxima vez.","Galapagar, España",2368 contribuciones,2368.0,Escrita el 6 de febrero de 2018,,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/72/ef/30/caption.jpg?w=100&h=-1&s=1,,,,
