web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,data16,data17,data18,image4,image5,image6,image7,image8,data19,data20,data21,data22,position
1777311594-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Impossible no venir,Júlia Albàs,"No hay palabras para describir nuestra experiencia en Angelita. Espectacular comida, espectacular servicio y sobretodo espectacular variedad de vino, y todos ellos excelentes. Muy recomendable",20 contribuciones,20.0,Escrita el 7 de noviembre de 2021,,,,20 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,,,,,,,Explora ahora,Descubre Abu Dabi,Descubre por qué a los viajeros como tú les encanta Abu Dabi,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f9/08/b1/mosquee-1.jpg?w=400&h=400&s=1,,,,,,,,,,,,,,,
1777311594-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Para repetir,José M,Experiencia muy interesante.Calidad en los platos que ofrecen y maridaje de nivel. Un escalón por encima de la media. Para repetir.,10 contribuciones,10.0,Escrita el 31 de octubre de 2021,,,,"Valencia, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/4f/2b/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Buen sitio para maridar buenos productos de temporada con su excelente carta de vinos,Javisanap70,"Muy buen servicio. A destacar su amplia carta de vinos y platos como la ensalada de tomate y higos, presa ibérica y los boletus. Excelente selección de quesos.",65 contribuciones,65.0,Escrita el 30 de octubre de 2021,,,,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/94/avatar.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,"Si te gusta el sabor del hielo, adelante",fsm23,"(Crítica de la zona de cocktails). Desde que descubrí este lugar he estado trayendo gente cuando he podido, por la amabilidad de los camareros, lo bien que te explican cada coktail, lo original que es la carta-maletín con la lucecita... Hasta que el otro día fui y vi que han cambiado la carta, que me pareció una auténtica estafa. Ya no es sólo que no están tan buenos como antes, lo peor es que el 75% de la copa es hielo. Y pagar 9/10 euros por eso, me parece un robo. Me da pena porque me encantaba ir y dárselo a conocer a gente. Así, no puedo.",27 contribuciones,27.0,Escrita el 26 de octubre de 2021,,,,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,"Pésimo trato, muy mala atención",Mina H,"Me sentí fatal en cuando a como me trataron en el restaurante. Llegue poco tarde a mi reserva preguntándole si podían abrirme un espacio, explicando que venía de fuera y por eso no había podido comunicarme. Resulta que me queda mirando de pies a cabeza y luego me dice: no y pregunte para el día siguiente, me dijo tampoco no y no y todos los días resulta que estaba full. Y comenzó q decirme que ellos eran un restaurante serio, que tengo un teléfono; que etc etc. ofendiéndome y sin más me fui. Una pena porque la vez anterior que estuve por Madrid comí allí y me gustaron algunos platos pero por calidad de atención no volvería nunca, y tampoco lo recomendaría.",1 contribución,1.0,Escrita el 23 de octubre de 2021,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Diferente con un toque bohemio !!!!,ERIK,"Un sitio donde puedes oír  música, tomarte los cocktail más exóticos y disfrutar de un buen ambiente, puedes picar entre copa y copa. Recomendable !!!  Ahhhhh averigua que te toca cuando te traen el posavasos !!!!! Enigmático y supersticioso para el que cree !!!! No te quedes con las ganas, muy atento como te dan o te ponen el posavasos . La carta !!!! Una maleta con luz propia.",541 contribuciones,541.0,Escrita el 4 de octubre de 2021,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/15/e9/82/angelita-madrid.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f2/5f/c7/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,,,,,,,Leer ahora,Una guía de Roma para toda la familia,"Con atracciones antiguas, magníficas iglesias e interminables museos, puede parecer que Roma sea solo un destino vacacional para adultos. Pero nada más lejos de la realidad. Roma combina a la perfección la historia con la modernidad, y es un paraíso para que los niños exploren y aprendan más sobre el mundo.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/c4/5f/3d/caption.jpg?w=400&h=400&s=1&cx=999&cy=562&chk=v1_13a52aa748e534826638,,,,,,,,,,,,,,,
1777311594-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Un lugar para gente que busca cosas diferentes.,Francisco  R,"Llegamos a este sitio sin reservación y estaba lleno. Nos ofrecieron una mesa en la parte de abajo que es más como un bar.
Las bebidas son buenas y las cambian seguido de la carta, sin embargo me pareció que exageran mucho en los ingredientes con tal de hacer algo distinto.
La comida es buena pero también demasiado inventada. 
Es un lugar para probar cosas diferentes, pero no para una cena normal.",21 contribuciones,21.0,Escrita el 26 de septiembre de 2021,,,,21 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1777311594-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10159455-Reviews-Angelita_Madrid-Madrid.html,Maravilloso!,Marcos A,Una maravilla de restaurante y una maravilla para el paladar. Nos encanto el trato y la calidad de comida superó nuestras expectactivas.,2 contribuciones,2.0,Escrita el 3 de septiembre de 2021,,,,2 contribuciones,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
