web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,data19,image2,position,image3,image4,image5,image6,image7
1779542119-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Una pequeña joya,GeeMan,"Somos una pareja y queríamos un lugar relativamente tranquilo pero atmosférico con autenticidad. Este era el lugar. 
Volvimos una segunda vez en una estancia de 4 días en Madrid. 

El personal es encantador. Genuinos y amables, quieren hacer que los clientes disfruten de su experiencia. 
Útiles con el menú, que es excelente. 
Ensalada de vieiras deliciosa. Canelones negros con marisco. 
 
Vino y vermut deliciosos.
Gracias",10,,Escrita el 17 de mayo de 2026,"Hampshire, Reino Unido",Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Verdaderamente sobresaliente,GEORGE,"Casa Lucas ofrece una experiencia gastronómica realmente excepcional en Madrid. La calidad de la comida era excepcional, con tapas creativas, excelentes ingredientes y sabores bellamente equilibrados. Cada plato mostró cuidado, frescura y creatividad culinaria genuina. 
El servicio fue impecable: el personal fue acogedor, atento y encantado de explicar los platos y ofrecer recomendaciones. A pesar de que el restaurante estaba ocupado, la velocidad del servicio era notable. Los platos llegaron rápidamente sin comprometer la calidad ni la presentación. 
El ambiente era cálido, animado y auténtico, capturando perfectamente el espíritu del viejo Madrid. En general, Casa Lucas es una excelente opción para cualquiera que busque comida de alta calidad, servicio profesional y una auténtica experiencia gastronómica española.",1,,Escrita el 8 de mayo de 2026,"Heraklion, Grecia",Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Lugar  de culto  calidad y arebcikn de lujo. Top top,lara m,Un sitio de culto donde te hacen sentir como en casa lleno de detalles y cariño por el cliente y encima produxto maravilloso y calidad impresionnate...para colmo te atiende Jose que es un cañon con un mimo de lujo..alguien da mas ? Mil gracias. Magnifica celebracion del Domingo de resureccion,130,,Escrita el 5 de abril de 2026,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,
1779542119-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Precioso restaurante en Madrid con comida increíble y personal amable,Albert,"Me encanta este restaurante! La he visitado dos veces, y definitivamente la próxima vez que vaya a Madrid, la volveré a visitar. El restaurante está situado en el corazón de Madrid en una calle muy bonita, y es fácil de encontrar y caminar allí si te alojas en el centro de la ciudad. El lugar no es muy grande – ambas veces fui allí para almorzar, no había mesas disponibles, así que tuve que sentarme en el bar; una vez incluso tuve que esperar unos 7 minutos hasta que un lugar del bar quedó libre. El diseño del restaurante es simple, pero bonito y encantador. En general, el restaurante está en muy buenas condiciones y estaba perfectamente limpio las dos veces que visité. La única pequeña desventaja es que el lugar es bastante ruidoso, pero no me molestó. 
Una de las mejores cosas de este lugar es la gente que trabaja allí – tanto un chico como una señora en el bar eran extremadamente agradables y amables conmigo; además, ambos hablaban muy buen inglés. Me dieron recomendaciones sobre qué probar, y seguí sus consejos. 
La carta del restaurante no es grande, pero tiene todos los platos tradicionales españoles más populares. Las dos veces pedí Rabo de Toro (un guiso tradicional español) , Fardos (rollos de calamar con tocino y mousse de tinta de calamar) ; y una vez también probé croquetas de jamón . Las croquetas estaban sabrosas – me encantó su sabor y textura suave. Una porción incluye 6 piezas, y son bastante grandes y llenas. Era mi primera vez probando Fardos (pedí una porción de 1/3), y fue una gran experiencia – el plato se volvió muy delicioso después de que el camarero lo mezcló para mí. El calamar se cocinó muy bien, y combinado con el tocino fresco y la mousse de tinta, sabía fantástico. Rabo de Toro (pedí una porción de 1/2) también fue mi primera vez probando este plato, y me encantó – el guiso estaba perfectamente cocido, muy suave y húmedo, con sabores ricos, y se derritió en mi boca. El restaurante también ofrece una amplia variedad de bebidas, especialmente vinos. No bebo alcohol, así que me recomendaron probar el jugo de uva Mosto, que era extremadamente sabroso y sabía como jugo de uva recién prensado, a pesar de que provenía de una botella de vidrio. ¡Me encantó esa bebida! 
Precio - en cuanto, todos los elementos en el menú parecía razonable. Pagué 8€ por 6 croquetas de jamón, 12€ por media porción de Rabo de Toro, 8€ por 1/3 porción de Fardos y 3€ por un vaso de zumo de uva. Es posible tener un buen almuerzo completo aquí por alrededor de 22 € , que es razonable para un restaurante en el corazón de Madrid. El lugar acepta todas las principales tarjetas de crédito y Apple Pay, que es una gran ventaja. 
Si visitas este restaurante, te recomiendo probar 1/3 o 2/3 porciones de Fardos, media porción de Rabo de Toro y su jugo de uva Mosto, es suficiente comida para sentirte lleno y experimentar los sabores tradicionales españoles.",2234,,Escrita el 31 de marzo de 2026,"Miami, Florida",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e8/ee/05/albertlosangeles.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,¡Increíble!,Morgan Taylor,"Gran comida, gran energía, la morcilla era increíble! Lo recomendaría a cualquiera!",18,,Escrita el 22 de marzo de 2026,"Frankfurt, Alemania",Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Me encantó este lugar,Alba Marina F,"Un ambiente muy cálido, hermosa atención y comida buena. Productos de calidad y comida con mucho sabor. Servicio muy rápido.",1,,Escrita el 8 de marzo de 2026,"Madrid, España",,,,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,excelentes tapas,yaya40,Gran bar/restaurante con opciones sin gluten. Muy rápido y buen servicio.,78,,Escrita el 21 de febrero de 2026,"Haifa, Israel",Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/7c/d2/32/yaya40.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Magia (Maga),danielcay,"Este lugar es mágico. La comida es sencilla, pero extraordinaria. Le dije a nuestro servidor (el mejor servidor de Madrid por cierto) que quien estaba en la cocina era un mago. Así de bien. El chef salió y nos conversó durante unos sólidos 5 minutos. ¡Era tan encantadora! Llevamos 3 dientes y volviendo antes de salir de Madrid en 11 días. Me encanta este lugar a las nueces",5,,Escrita el 21 de enero de 2026,5 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Genial,Lorena M,"Para mí es un imprescindible si vienes a Madrid, platos buenos a buen precio y servicio de 10. Mi primera vez con amigas y ahora con pareja y genial, para repetir una tercera vez",4,,Escrita el 29 de noviembre de 2025,4 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,La mejor TABERNA de MADRID,barreraperxes,"Casa Lucas es un pequeño local en la CAVA BAJA de Madrid,  que recomiendo mucho ir.  No espereis, postres ni café;  buenos vinos ,  MUY MUY BUENAS TAPAS y una atención EXCELENTE.  Si tengo salud pienso volver cuando regrese a esas tierras castellanas.",131,,Escrita el 16 de noviembre de 2025,"Darnius, España",,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/07/6a/c7/avatar.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Lo mejor de Madrid,TheRobbs,"Buena comida, buen vino y un personal amable maravilloso! Por eso desearía vivir en Madrid y sin duda volveré! ¡Gracias Lucas del escocés, escocés congoleño y sueco filipino!",20,,Escrita el 18 de septiembre de 2025,Kinross,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Increíble,Ellie D,El ambiente era genial. Nos sentamos en el bar. La comida era muy buena. Lo mejor que hemos tenido en Madrid hasta ahora. Realmente genial y muy recomendable.,2,,Escrita el 4 de junio de 2025,2 contribuciones,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,
1779542119-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1822624-Reviews-Casa_Lucas-Madrid.html,Tapas & Pintxos en Madrid,Patricia G,"Gran lugar para tapas y pintxos. Todo, desde la ensalada de vieiras hasta la cola de buey, eran deliciosos, y tenía muchas recomendaciones de nuestro camarero que estaban en el lugar. El ambiente era casual y amable y una gran manera de terminar nuestra estancia en Madrid. Muy recomendable!",76,,Escrita el 6 de mayo de 2025,"Chadds Ford, Pensilvania",Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/cb/3b/36/patricia-g.jpg?w=100&h=-1&s=1,,,,,,,,
