web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,image5,data19,position,image6,image7,image8
1779543717-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Posiblemente las 'Mejores Tapas de Madrid',GoingGuide,"El sabor, el gusto, la apariencia y la unicidad de las tapas tge en esta taberna fueron lo mejor que experimentamos durante nuestro viaje a Madrid. Tanto esfuerzo y pasión era claramente evidente en cómo se preparaban y presentaban los alimentos. Y los sabores -bueno, las palabras no pueden describir lo increíblemente único que sabían- totalmente diferentes a cualquier otra tapa que habíamos probado. Una buena gama de alimentos para elegir entre los requisitos dietéticos generales - vegetariano, gluten - libre, vegano. Cuando volvamos a Madrid sin duda volveremos!",3039,,Escrita el 27 de abril de 2026,"Nottingham, Reino Unido",Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/5c/8c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/5c/8d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/5c/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/0e/5c/8b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fe/dc/c8/domdomdomdom-13.jpg?w=200&h=-1&s=1,,,,,
1779543717-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Cóctel Vermut,seanandnic,"Bonito pequeño lugar con cócteles Vermut muy sabrosos! 
El personal era muy amable.",260,,Escrita el 7 de abril de 2026,"Carlisle, Reino Unido",Mostrar original,Calidad/precio,Ambiente,Servicio,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0c/f8/c1/seanandnic.jpg?w=100&h=-1&s=1,,,,,
1779543717-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,¡Un lugar increíble!,Morgan Taylor,COMIDA EXCEPCIONAL! ¡Tengo que comer el vermut! ¡Y deben tener las albóndigas! Fuimos aquí con dos amigos y tuvimos la experiencia más agradable que volvimos de nuevo.,18,,Escrita el 22 de marzo de 2026,"Frankfurt, Alemania",Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/be/b4/a9/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/be/b4/a8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1779543717-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Buen lugar,james d,"Tapas clásicas y acogedoras en el corazón de La Latina con un ambiente animado y auténtico. 

El restaurante ofrece un ambiente acogedor y encantador en el corazón de La Latina. 
Las tapas son deliciosas, y el vermut de la casa y la selección de vinos son excelentes. 
El personal es cortés, atento y hace que cada visita sea agradable. 
Un lugar encantador para una comida relajada que es auténtica y memorable.",2,,Escrita el 18 de marzo de 2026,2 contribuciones,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,
1779543717-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Muy bonito.,james d,Pequeño lugar con encanto en La Latina con un ambiente cálido y acogedor. El personal es amable y te hace sentir bienvenido. Las tapas tradicionales españolas son sabrosas y bien preparadas. Perfecto para una comida relajada con amigos o familiares.,5,,Escrita el 18 de marzo de 2026,5 contribuciones,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,
1779543717-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Gran lugar para un gran vermut,Ros G,"Sin duda merece la pena visitar este lugar. Es pequeño, pero siempre hay espacio para apretar. El vermut es una necesidad - delicioso! Teníamos el plato de queso, muy bueno.",115,,Escrita el 16 de marzo de 2026,"Groningen, Países Bajos",Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b3/6e/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b3/6e/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b3/6e/9b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b3/6e/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/97/6c/c4/ros-g.jpg?w=100&h=-1&s=1,,,,,
1779543717-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Odian a turistas,Elias L,"Terrible experiencia, el personal odia a los turistas y se niega incluso a tratar de ser educado. Si no eres español, incluso si eres italiano, realmente es una experiencia desagradable.",1,,Escrita el 21 de febrero de 2026,1 contribución,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,
1779543717-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Mejor restaurante en Torrevieja,Artemis J,"El mejor servicio, el mejor chef, la mejor comida, todo en la mejor ubicación. 

Mi novio y yo nos alojamos en Torrevieja durante 7 días, y lo único que lamentamos es que no descubrimos este restaurante antes. Desde el momento en que lo encontramos, terminamos comiendo aquí todos los días y ni siquiera consideraríamos ir a ningún otro lugar. 

El servicio es excepcional, el chef es increíblemente talentoso, y la comida es auténtica y lujosa. 
Si estás buscando comida auténtica en Torrevieja, este es el único lugar que necesitas visitar. No te arrepentirás.",2,,Escrita el 21 de febrero de 2026,2 contribuciones,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,
1779543717-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Buen vermut casero,Marta N,"Fui con mi hija a tomar un vermut. El lugar es castizo, muy céntrico y la verdad que el vermut estaba buenísimo. Ademas muy limpio. La tapa era minúscula pero de calidad. Muy contentas!",16,,Escrita el 17 de enero de 2026,16 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3b/0a/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,
1779543717-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3470895-Reviews-Taberna_la_Concha-Madrid.html,Buena relación calidad-precio,IAN D,"La Taberna de La Concha se encuentra en el barrio de La Latina y es famosa por su Vermut. Decidimos seguir viéndolos videos de tube y debemos admitir que disfrutamos. Lugar muy concurrido en la calle Baja y tapas a un precio razonable. Teníamos una pila de tomate y mozzarella. Bonito lugar, pero fue a mejor",29543,,Escrita el 9 de noviembre de 2025,"Wigan, Reino Unido",Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ad/f1/d0/good-value.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ad/f1/d1/good-value.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ad/f1/d2/good-value.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ad/f1/cf/good-value.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/1d/fd/49/ian-o.jpg?w=200&h=-1&s=1,,,,,
