web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,name,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,image5,position,image6,image7
1779544128-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Nefasta,Rupi,"Es un impresentable, es soberbio y maleducado. Hace que la comida resulte desagradable y si le pones una mala reseña, encima te responde incluso al WhatsApp privado, cosa que no debe ni podría hacer. No le pongo menos estrellas porque no se puede",12,,Escrita el 16 de octubre de 2025,"Hola, creo que se ha confundido de restaurante, aquí nadie le ha escrito a ningún cliente nunca en 16 años, le agradeceríamos nos telefonease al 912092636 o nos escriba a info@vinosdebellota  para poder aclararlo, ya que soy la única persona que se encarga de estos menesteres y de ninguna manera se ha escrito al whatsApp absolutamente nada a nadie nunca. Entiendo su enfado, pero no es con nosotros, le agradecería pudiéramos aclararlo, ya que es algo muy grave que jamás hemos hecho ni haremos. Si es usted tan amable pregunte por Fernando.
Gracias, un cordial saludo",Escrita el 17 de octubre de 2025,12 contribuciones,Vinos de Bellota,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Mienten,luismi,Tened cuidado donde os ponen cuando reservéis porque si no dices nada te ponen en las mesas altas sin consultar yo anulé una reserva hecha con varios días de antelación por ese motivo y encima mintieron diciendo que se podía elegir por la web. Una tomadura de pelo,1,,Escrita el 5 de octubre de 2025,,,"Mojácar, España",,Servicio,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,
1779544128-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Muy recomendable!,Margaret P,"Este restaurante es increíble! La comida es deliciosa, y obviamente preparada con pensamiento, propósito y cuidado. Uno puede probar cada ingrediente, cada salsa. El garbanzo con marisco era maravilloso, al igual que las anchoas fritas y las alcachofas. El postre estaba delicioso. El servicio fue eficiente, y el chef habló con nosotros sobre ingredientes, formas de cocinar, y nos hizo recomendaciones que apreciamos. Esta fue una experiencia gastronómica fantástica, y sin duda recomendamos encarecidamente. Dejamos el restaurante increíblemente feliz y bien - alimentado con una apreciación más profunda de la cocina Española.",1,,Escrita el 18 de julio de 2025,"Margaret, thank you so much for your beautiful words!
It means the world to us to know you enjoyed every detail — from the food and ingredients to the service and the overall experience.

We’re passionate about sharing the richness of Spanish cuisine, and knowing it reached you like this truly makes us happy.

We'll be delighted to welcome you back whenever you like.",Escrita el 2 de septiembre de 2025,1 contribución,Vinos de Bellota,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Una maravilla,susanatapia,"Nos recomendaron este restaurante y la verdad,nos encantó. Todo buenísimo, atención espectacular, nos explicaron los platos,un trato muy cercano, una maravilla y los postres de diez. 
Repetiremos seguro!",15,,Escrita el 6 de abril de 2025,"Muchísimas gracias, Susana. Nos alegra saber que vuestra visita fue tan positiva y que disfrutasteis tanto de la comida, la atención y los postres. Agradecemos de corazón tus palabras y esperamos volver a recibiros muy pronto en nuestro restaurante en Retiro. Aquí tenéis vuestra casa.",Escrita el 8 de abril de 2025,15 contribuciones,Vinos de Bellota,Calidad/precio,Ambiente,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Sorpresa,Julio T,"El sitio espectacular , pequeño, muy acogedor y la atención un 10 y los productos geniales . Sin duda Repetiremos. Reservar para ir seguro .",12,,Escrita el 13 de marzo de 2025,"¡Muchísimas gracias por tu estupenda valoración, Julio! 😊 Nos alegra saber que disfrutaste del ambiente, la atención y nuestros productos. Apreciamos mucho tus amables palabras y estamos deseando volver a verte pronto por nuestro restaurante en Retiro. ¡Aquí siempre tendrás tu mesa esperándote! 🍷✨",Escrita el 14 de marzo de 2025,12 contribuciones,Vinos de Bellota,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/3c/5d/5d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/8f/a1/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Súper recomendado...!!,JOSE H,"Excelente tasca en la zona del retiro, liderada por Fernando y su gran equipo, trato cercano y familiar que se agradece, se nota la pasión por su profesión, te asesora y recomienda como si fuera para el, es de agradecer su gran empatia, la comida genial, a destacar los garbanzos con gambones, las albóndigas de angus y el arroz de pluma, aunque nos quedamos con ganas de probar más platos, pero volveremos. Los postres nos quedamos con la tarta de queso flambeada, aunque el tiramisu y la torrija no le van a la saga. Ideal para tomar la primera copa de la sobremesa con su música ochentera de fondo. Súper recomendado...!!",1,,Escrita el 8 de diciembre de 2024,"¡Muchísimas gracias, Jose, por tu espectacular reseña y tus amables palabras hacia nuestro equipo! Nos encanta saber que disfrutaste tanto de la comida, de los postres y del ambiente en nuestro restaurante en Retiro. Es un placer leer valoraciones como la tuya y saber que tu experiencia fue tan positiva. Aquí siempre tendrás un rinconcito esperando para seguir disfrutando de nuestros platos y nuestra música ochentera. ¡Te esperamos pronto para probar más de nuestra carta! 😊🍷",Escrita el 9 de diciembre de 2024,1 contribución,Vinos de Bellota,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Excelente! Muy recomendable!,msaioli,Buen lugar para degustar buen vino español y maridar con bocados muy bien curados. Me encantó que muchos platos ofrecidos en medias porciones. Kudos al servidor James por su paciencia ayudándonos a organizar una encantadora cena ligera en nuestra última noche en España.,205,,Escrita el 25 de septiembre de 2024,"Hi msaioli! Thank you so much for your wonderful review and for recommending us! We're delighted to hear that you enjoyed our Spanish wines and curated bites, and that the half-portion options worked well for you. A special shout-out to James for making your experience even better. We hope to welcome you back next time you're in Spain! 🍷😊",Escrita el 6 de octubre de 2024,"Sebastopol, California",Vinos de Bellota,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/3c/98/cc/msaioli.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Recomendable 100%,Ansssssss,"Es la 3º vez que voy y nunca falla. En esta ocasión hemos ido  2 familias a comer. Para los mayores pedimos el menú degustación y madre mía cómo estaba todo. Al terminar de comer no sabíamos qué plato nos había gustado más! Alcachofas de muerte, pimientos rellenos buenísimos, croquetas súper jugosas, albóndigas exquisitas... y los postres igual tarta de queso y tiramisú increíbles!!Para los niños pedimos un arroz y unos fideos con pluma que nos pediremos la próxima vez de los buenos que estaban! Para terminar nos invitaron a un chupito de espuma original y rico y chuches para los niños. Aparte de la comida aunque el restaurante en sí es muy sencillo el trato es de sobresaliente. En conclusión, yo cuando voy al Retiro o cerca no tengo dudas de dónde ir a comer. Siempre es un acierto!",103,,Escrita el 20 de mayo de 2024,"¡Wow! Muchísimas gracias por esta increíble reseña. Nos alegra muchísimo saber que en tu tercera visita seguimos cumpliendo con tus expectativas. Nos encanta que hayáis disfrutado tanto del menú degustación, los platos y los postres, ¡y que hasta los peques hayan encontrado sus favoritos! 😊 Siempre es un placer recibiros en Vinos de Bellota, y nos llena de orgullo saber que somos vuestra opción preferida cuando venís a la zona de El Retiro. ¡Os esperamos pronto para seguir compartiendo momentos y sabores únicos! 🍷🥘",Escrita el 1 de octubre de 2024,"Madrid, España",Vinos de Bellota,Calidad/precio,Ambiente,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Excelente experiencia,Manuel R,"Porque fuimos muy bien atendidos, aconsejados y alimentados. Lo recomiendo sin duda. 2 familias que salimos impresionados de lo bien que se portaron con nosotros, los fideos muy bien preparados, el foie espectacular, la ensalada de tomate y burrata mejor todavía y ya los postres para salir a hombros. Gracias.",96,,Escrita el 31 de marzo de 2024,"¡Hola, Manuel! Muchísimas gracias por tus amables palabras. Nos alegra saber que tanto el servicio como los platos estuvieron a la altura de vuestras expectativas. ¡Qué bien que os gustaron los fideos, el foie, la ensalada y los postres! 😊 Fue un placer atender a vuestras familias y esperamos veros pronto de nuevo en Vinos de Bellota, vuestro restaurante en El Retiro. ¡Gracias por recomendarnos! 🍷🥘",Escrita el 1 de octubre de 2024,"Provincia de Cádiz, España",Vinos de Bellota,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c3/4e/1f/manuel-r.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
1779544128-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3530204-Reviews-Vinos_de_Bellota-Madrid.html,Espectacular!,Leonor C,"Nos ha encantado. Todo de 5 estrellas. La atención del camarero increíble. Muy servicial y agradable. La comida espectacular. Todo riquísimo. Las croquetas de cocodrilo, para repetir, y las alcachofas,, sin palabras. Repetiremos cuando volvamos a Madrid..",3,,Escrita el 3 de marzo de 2024,"¡Hola, Leonor! Muchísimas gracias por tu reseña tan positiva. Nos alegra mucho que hayas disfrutado tanto de la atención como de la comida. Nos encanta saber que las croquetas de cocodrilo y las alcachofas te dejaron sin palabras. 😊 Será un placer recibiros de nuevo en Vinos de Bellota cuando volváis a Madrid. ¡Os esperamos con los brazos abiertos y más platos riquísimos por descubrir! 🍷🥘",Escrita el 1 de octubre de 2024,3 contribuciones,Vinos de Bellota,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/8b/a6/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/da/22/92/vinos-de-bellot-v.jpg?w=100&h=-1&s=1,,,,,
