web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,position
1779544523-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Me encantó,Camila C,"Excelente servicio muy buena la atención, y todo de mano de la mejor Katha",1,,Escrita el 28 de abril de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,
1779544523-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,PÉSIMO SERVICIO,Andrea C,"Pésima atención, los meseros avientan y confunden órdenes, mucho tiempo de espera para recibir los alimentos, dejó muchísimo que desear",1,,Escrita el 14 de abril de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1779544523-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,No volvería.,Vanessa M,"Casi 4€ por una caña con la tapa a parte… me parece una pasada de precio.
Un calor horrible, se me quedó pegado el pantalón al cuerpo.
Tuvimos que pedir 3 veces la misma tapa porque se olvidaban continuamente, el servicio bastante lento.
Nos tenían olvidados en un lado del salón.
La verdad es que no volvería.",114,,Escrita el 5 de abril de 2026,"Melilla, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/09/de/55/vanessaml5603.jpg?w=100&h=-1&s=1,
1779544523-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Tapas,Flor H,"La comida estuvo buenísima la atención de Jenny volveré y lo recomiendo para pasar un hbuem rato,,,,,,,",1,,Escrita el 2 de abril de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,
1779544523-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Buen servicio,Compass43815409956,Excelente servicio! Katha 10 de 10,1,,Escrita el 24 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1779544523-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,tapas,Trail46577063477,"La tortilla de patatas recién hecha buenísima y la sangria ,,,,, la atención rápida y gentil la recommendamos y  volveremos ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",1,,Escrita el 24 de marzo de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1779544523-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Mal servicio,Ailinng09,"Almorzamos ayer en Tapa Tapa Arenal. El restaurante estaba lleno. Tardó un tiempo para que la camarera tomara nuestro pedido incluso. Las tapas están bien. Uno de los artículos pedidos se retrasó. Cuando le pedí a la camarera que hiciera un seguimiento de la orden dijo algo en español que creo que sonaba como si la orden no se hubiera puesto antes. Así que esperamos y le preguntamos a la camarera por el artículo y ella me habló groseramente y en voz alta. El artículo de comida finalmente llegó. Entiendo que no hay suficientes servidores alrededor, pero esto no debería ser la excusa para un mal servicio.",9,,Escrita el 23 de marzo de 2026,"Petaling Jaya, Malasia",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1779544523-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Muy pobre no recomiendo,Rona,"No recomendar si usted tiene alergias. Visité aquí con mi pareja que es mortalmente alérgica a los mariscos. Ella informó al personal de camareros y gerente de esto, sin embargo, cuando llegó su comida pudimos ver claramente un pedazo de camarón en su plato. El gerente no se disculpó y en su lugar nos rogó que no nos quejáramos y luego trató de iluminar con gas a mi pareja diciéndole que nunca dijo que tenía alergia a los mariscos. Absolutamente horrible lugar y la comida tampoco era tan bueno. Para las tapas, hay lugares mucho mejores cerca.",1,,Escrita el 23 de marzo de 2026,"Liverpool, Reino Unido",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,
1779544523-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,Primera vez en Madrid,Dunlopmark,Excelente restaurante de tapas. Gran selección de platos a precios razonables. Tan bien que volvimos una segunda vez. Lo recomendaría.,230,,Escrita el 21 de marzo de 2026,"Dundee, Reino Unido",,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/be/1f/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1779544523-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14113449-Reviews-Tapa_Tapa_Arenal-Madrid.html,"¡EVITA, EVITA, EVITA!",Hilary,"Fuimos por el día de la madre con mi madre de 80 años y mi hijo. Nos mostraron a una mesa encantadora y luego nos ignoraron por completo. Después de 45 minutos preguntamos si podíamos pedir bebidas. La camarera se acercó y dijo que volvería con las bebidas, otros 30 minutos y nada. Mi madre se estaba volviendo cada vez más molesta, así que tuvimos que irnos. La camarera me preguntó por qué, así que le dije, me dio una pequeña botella de agua tranquila que se sintió como un insulto. Sinceramente, creo que esto se debió a que éramos británicos, nunca me había sentido tan discriminado en otro país. Evita a toda costa, no vale la pena.",2,,Escrita el 16 de marzo de 2026,"Coulsdon, Reino Unido",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
