web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,position,data21,data22,data23,data24,data25,data26,image5,image6,image7,image8
1775471573-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Muy recomendable,Sandra n,"David malísimo, le pedimos consejo y todo perfecto. Precioso el sitio la comida bien sin grandes except áticas y los cockteles de lujo. Consejo, volver","🙏✨ Mil gracias por compartir la experiencia, vuestra energía nos motiva a seguir mejorando cada día 🌟🥂",9 contribuciones,Escrita el 11 de julio de 2025,9,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Inclán B,Escrita el 23 de septiembre de 2025,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Experiencia Brutal,Judith R,"Local espectacular, probamos arroz señorito y zamburiñas, nos encantaron, agradecimiento especial a Gabriel, David, Patricia, Nathalia y Jesica .
MIL GRACIAS","🌟🙏 Mil gracias por la energía tan bonita, nos alegra muchísimo que la experiencia haya sido tan especial 🥂✨",3 contribuciones,Escrita el 9 de julio de 2025,3,,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/69/0e/41/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/69/0e/40/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Una comida de amigas Brutal,LETICIAMOLINA,"El restaurante en si ya merece la pena visitarlo por la decoración, que es espectacular, aparte de eso la comida es simplemente BRUTAL, los cócteles están todos buenísimos y el servicio fue perfecto, muchas gracias a Laura, que fue encantadora de principio a fin. Espero que no cambien, porque la experiencia hace honor al nombre del local!","💫🙏 Mil gracias por tanta alegría, nos llena de ilusión saber que lo habéis disfrutado tanto 🥂✨",21 contribuciones,Escrita el 8 de julio de 2025,21,,Inclán B,Escrita el 23 de septiembre de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/69/1f/a6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/69/1f/a5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Brutal está maravilloso!,GrandTour04205122753,"E X C E L E N T E gran experiencia, los drinks muy buenos, la comida 10 de 10, el lugar fabuloso y la atención y servicio extraordinaria. Jhonas nos atendió y nos ayudó con recomendaciones de todo. Vengan acá que les va a encantar.","💫🙏 Mil gracias por compartir tanta buena vibra, nos alegra un montón que lo hayáis disfrutado 🥂✨",4 contribuciones,Escrita el 3 de julio de 2025,4,,Inclán B,Escrita el 23 de septiembre de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/d8/c2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/d8/c1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,De visita obligada si estás en Madrid,Gema BR,"De esos lugares de los que repetirías mil veces. Sin duda, uno de mis restaurantes favoritos y el primero que recomiendo cuando alguien me pregunta dónde ir.
Desde que entras por la puerta, te envuelve su decoración, su ambiente acogedor… y, por supuesto, su comida.
Mis imperdibles: las zamburiñas (¡una locura!), el bao de costilla, el risotto de boletus y… la tarta de queso. Increíble. De las mejores que he probado.
Ideal para una cena especial, para sorprender a alguien o simplemente para disfrutar porque sí. Además LuLu nos atendió increíble!","💫🙏 Mil gracias por un mensaje tan especial, vuestra energía nos llena de alegría y nos inspira a seguir dando lo mejor 🥂✨",3 contribuciones,Escrita el 3 de julio de 2025,3,Reservar con tiempo,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/a6/4f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/5c/a6/4e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Increíble bar,Izzy K,"Servicio increíble y bebidas 
Los mejores camareros Pikatchu, Ivan, Miguel y Genesis! Un lugar increíble recomiendo ir aquí","🌟🙏 Thank you so much, your words fill us with joy and keep us inspired every day 🥂✨",6 contribuciones,Escrita el 29 de junio de 2025,6,,Inclán B,Escrita el 23 de septiembre de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Un fraude: sobrevalorado no recomendable,Nataly M,"Pésimo!!!

Mucho nombre y poca calidad.
Los precios están sobrevalorados para lo que ofrecen. 

Muy poca cantidad en platos y cócteles.  Del cóctel es la mitad del vaso líquido y la otra mitad solo hielo para aumentar la poca cantidad. 

Llegan con unos vasos y vajilla divina pero lo que contiene es pobre.

Fui por él nombre y la publicidad, pero me llevé un gran disgusto. 

No recomendable","🙏 Gracias por compartir tu experiencia, valoramos mucho tu sinceridad y tendremos en cuenta tus comentarios para mejorar 🌟🥂",1 contribución,Escrita el 27 de junio de 2025,1,No vayan es un robo está sobrevalorado,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/9b/31/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Experiencia recomendada,Amina A,"Muy buena experiencia, Davida Rojas y onas gente muy amable, dispuesto  asesorarnos con los coteles y actitud muy amigable, super recomendado","💫🙏 Mil gracias por tan buena vibra, nos alegra muchísimo que lo hayáis disfrutado 🥂✨",1 contribución,Escrita el 24 de junio de 2025,1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Inclán B,Escrita el 23 de septiembre de 2025,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Genial,Diego G,"Genial para cenar y tomar unas copas originales. Nos invitaron a los pubs de la cadena con regalo de chupitos. Amy, Genesis y Pikachu llevan el servicio de barra y fueron encantadores. Muy buenos cócteles.","🙌✨ Mil gracias por la energía tan bonita, nos alegra un montón que lo hayáis disfrutado 🥂🌟",1 contribución,Escrita el 21 de junio de 2025,1,,Inclán B,Escrita el 23 de septiembre de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775471573-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10358028-Reviews-Inclan_Brutal_Bar-Madrid.html,Local bien ambientado y original,Cristina O,"Buen ambiente,buen servicio y atención de los camarer@s,,en especial el coctelero Pikachu y el encargado Ronald ,recomendado 100%","💫🙏 Mil gracias por compartir vuestra experiencia, nos llena de alegría saber que lo habéis disfrutado tanto 🥂✨",3 contribuciones,Escrita el 19 de junio de 2025,3,,Inclán B,Escrita el 23 de septiembre de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/36/84/40/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/36/84/3f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/71/b2/16/inclan-b.jpg?w=100&h=-1&s=1,,,,,,,,,,,
