web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,image,image2,image3,image4,position,name
1779545097-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,"Si quieres comida saludable para empezar el día, ¡esto es imprescindible!",Brenna,"Visité este encantador café con mi amigo durante nuestro viaje a Madrid mientras buscábamos algo saludable, y resultó ser uno de nuestros lugares favoritos en la ciudad. La atmósfera era cálida, vibrante, acogedora y encantadora, el tipo de lugar al que entras y de inmediato quieres quedarte un rato. 

El personal fue absolutamente maravilloso, especialmente Fiorella. Ella fue increíblemente amable y nos hizo sentir muy bienvenidos desde el momento en que llegamos. Incluso le dio a nuestro perro una galletita, lo que instantáneamente ganó su aprobación. 🐶

Pedí el bol de açai y tostada de aguacate, y puedo decir honestamente que ambos fueron los mejores que he probado. Frescos, sabrosos, bellamente preparados, territorio total de ""mirar tu plato un segundo antes de comer"". Mi amigo pidió la tostada francesa, que probé, y fue increíble. 

Si buscas comida saludable, opciones veganas o simplemente un café acogedor con gente increíble y comida deliciosa, este lugar es una visita obligada en Madrid.",41,,Escrita el 20 de mayo de 2026,,,"Austin, Texas",,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/11/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/11/b6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/54/af/25/brenna-j.jpg?w=100&h=-1&s=1,,,
1779545097-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Magnífico açai,José A. G,"Una comida saludable con un ambiente acogedor, magnífico açai, es más excepcional 
Y mención especial a Michelle por su don de gentes",4,,Escrita el 7 de febrero de 2026,,,4 contribuciones,Opinión favorita del restaurante,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/8c/08/46/jose-a-g.jpg?w=200&h=-1&s=1,,,
1779545097-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Grata sorpresa,Pedro Javier T,Un descubrimiento total. Local bonito y comida estupenda.,1,,Escrita el 13 de abril de 2026,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,,,,,,,,,,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,
1779545097-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Debe ir a Madrid.,Passport33312387278,Gran opción vegana. La envoltura de seitán es deliciosa. La burrata tostada también. Buen personal. Lindo restaurante. Buena música creando un gran ambiente. Ojalá viviera en Madrid. Estaría aquí todo el tiempo,8,,Escrita el 13 de abril de 2026,,,8 contribuciones,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f0/b3/cd/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,
1779545097-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Genial!!,Anya C,Comida saludable de alta calidad súper deliciosa! Trabajadores muy agradables y gran ambiente,1,,Escrita el 28 de marzo de 2026,,,1 contribución,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/cc/7a/bc/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,
1779545097-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Un lugar maravilloso,joselyn j,La comida fue maravillosa y el servicio fue el mejor,1,,Escrita el 14 de marzo de 2026,,,1 contribución,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ae/41/ea/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ae/41/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,
1779545097-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Açaís buenos en un sitio bonito,Carlos H,"Una gozada de sitio, vibe clean muy limpio y cuidado, atención inmejorable y muchas opciones para gente con intolerancias varias que estaban bastante ricas",1,,Escrita el 22 de febrero de 2026,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,,,,,,,,,,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,
1779545097-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Gran y saludable almuerzo con personal amable,Alain W,"Vinimos aquí después de encontrarlo en Tripadvisor y nos encantó. La comida es fresca, saludable y muy bien servida, por lo que hay que ver bien antes de comer para disfrutar de todas las pequeñas cosas especiales en su plato. El personal es muy amable, la comida se sirve sin mucho retraso, y todo con una buena música de fondo. Un placer ir y sin duda volveremos allí.",5,,Escrita el 10 de enero de 2026,,,5 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,
1779545097-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Parada obligatoria en Madrid,Michelle,Un lugar cálido y acogedor con muchas (la mayoría) opciones veganas y vegetarianas deliciosas. La atención en 1000/10 y el café no se queda atrás.,5,,Escrita el 26 de noviembre de 2025,Muchísimas gracias por visitarnos y por tu hermosa reseña 💜🥰,,5 contribuciones,Almalibre Açaí House,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/e0/65/8f/bymmichelle.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
1779545097-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,MI PLAN FAVORITO 🪴☕️🫐,Michelle M,"Cuando quiero pasar un ratito tranquilo y comerme un bowl de açaí, este es mi lugar favorito. Un Pumpkin latte con un roll de canela y un bowl de açaí con banana, paçoca y chocolate… mi plan perfecto para un día de frío. 

El lugar es precioso y está muy bien cuidado ❤️",2,,Escrita el 25 de noviembre de 2025,Qué hermoso plan!!! Muchísimas gracias por compartirlo y muchísimas gracias por venir 🥰💜,Si vas en fin de semana es mucho mejor reservar mesa ya que a veces se llena :),"Torrejón de Ardoz, España",Almalibre Açaí House,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
1779545097-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente,Marcyal A,Después de más de 10 años de ser vegano acabo de comer la mejor y más rica hamburguesa vegana de todos los países que visite. Gracias,1,,Escrita el 19 de noviembre de 2025,Ohhh 🥰💜💜 Muchísimas gracias!!!,Prueben todo,1 contribución,Almalibre Açaí House,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
1779545097-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Bien hecho!,JAMES K,Comida y opciones. El servicio fue muy amable y servicial. Me encantaron las bebidas de café y batidos - bien hecho - no demasiado dulce y lleno de sabor.,3,,Escrita el 15 de noviembre de 2025,,,3 contribuciones,,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,
1779545097-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Un 10 en atención y en calidad,Elena R,"Una experiencia maravilloso , el acai perfecto, los productos buenísimos,  y las personas que atienden el negocio en Madrid están en todo y te brinda ayuda y soporte . Da gusto encontrar restaurantes así",2,,Escrita el 8 de noviembre de 2025,Muchísimas gracias por venir y por dejarnos estas hermosas palabras!!!,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Almalibre Açaí House,,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
1779545097-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,"Gran Tazón Açaí, pero en general abrumador",Leo,"El tazón de açaí era excelente — puedes elegir tus propios ingredientes, lo que es una gran ventaja. Sin embargo, los gofres eran bastante suaves y la tostada de aguacate tampoco tenía mucho sabor. Lamentablemente el café era muy pobre. Solo volvería por el tazón de açaí, así que en general no es una recomendación fuerte. 

El personal era muy amable, y el pedido se hace en línea.",531,,Escrita el 29 de octubre de 2025,"Thank you so much for your review, it help us to keep working and improving 💜",,531 contribuciones,Almalibre Açaí House,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/96/00/8a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/96/00/8b/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
