web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,image4,image5,image6,data20,data21,data22,image7
1779632234-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779632234-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,"No admiten reservas, pero son tardamos casi nada en sentarnos. Al ser domingo creo que habrá menos tiempo de espera.",Trail18765257949,"Se cena bien de tapas, con precios que no están mal al ser de Gran Vía de Madrid.
Fallo: la tapa de butifarra negra a la brasa es a la brasa, pero no es butifarra. Es morcilla de Burgos. Lo deberían cambiar en la carta o cambiar el producto.",1 contribución,1.0,Escrita el 20 de abril de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Oda a los postres de Vinitus,BrooklineBob,"En el corazón de Madrid, en la bulliciosa Gran Vía, Lies Vinitus, donde los dulces sueños cobran vida - a!  Por solo unos euros, un capricho tamaño tapa, sus postres son una sinfonía, imposiblemente dulce. 
Oh, Torrija de Santa Teresa, pudín de pan divino, crujiente corona de brûléed con crema en el interior que brilla.  Como las tostadas francesas y la crema brasilera tuvieron una aventura apasionada, ¡Un bocado y estás flotando en alas de canela! 
Churros con chocolate, calientes y crujientes de las frituras, sumergidos en cacao espeso que te hace suspirar el corazón.  Mejor que las leyendas, bailan en la lengua, un abrazo dorado y frito hasta la última migaja. 
Helado casero, tan cremoso y puro, Cheesecake que está fundido, un atractivo español — Centro ligeramente tambaleante, rico como puede ser, susurra “una rodaja más” tan seductoramente. 
Crema Catalana, esa delicia sedosa, con caramelo crujiente bajo la luz brillante de la antorcha.  Sándwich de Loret de March, un sueño helado genial, Brownie tan fudgy, que hace que el chocolate sea supremo. 
Pan, chocolate, aceite de oliva y sal: ¡qué giro!  Magia dulce y salada sellada con un beso.  Fresas besadas por el resplandor de la naranja y el azúcar moreno, un final fresco y jugoso que roba cada espectáculo. 
En Vinitus, el menú es una delicia para los poetas, cada postre de tapa brilla bajo la luz.  Maravillas asequibles en una animada escena madrileña, donde cada dulce final se siente como un sueño. 
Así que levanta tu cuchara (o ese mini gin tonic también) , A los postres Vinitus — leales y verdaderos!  En la ciudad de las tapas, llevan la corona dulce, vienen con hambre a Madrid... ¡y nunca salen del pueblo! 
¡Qué rico! Estas joyas convierten una comida en felicidad, Vinitus en Madrid — felicidad pura de postre.",161 contribuciones,161.0,Escrita el 19 de abril de 2026,"Brookline, Massachusetts",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ff/fa/b6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/ff/fa/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Lamentable,Laura S,Es un chiste de mal gusto. Simplemente  el peor sitio de mi vida. Comida cutre y cara. Se rien en tu cara,1 contribución,1.0,Escrita el 1 de abril de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Teatro de comida - fresco y delicioso,sally w,Tan bien que fuimos dos veces. Maravilloso marisco. Se sentó en el bar y los vio cocinar deliciosas tapas frescas. Un verdadero punto culminante de nuestra estancia en Madrid,40 contribuciones,40.0,Escrita el 31 de marzo de 2026,"Great Missenden, Reino Unido",Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Vinitus:  SÍ.  Es fantástico,Nancy N,"¡VE A ESTE RESTAURANTE! Mi familia tuvo una deliciosa cena de tapas en Vinitus en marzo de 2026. Fue muy recomendable por nuestro contacto en nuestro hotel y NO DECEPCIONÓ. Vinitus ofrece una gran variedad de tapas y bebidas. La comida era excelente, el ambiente era excelente, el servicio era excelente. Y la sangría era excelente. Por favor, elija Vinitus sobre otras opciones cercanas. Estarás contento con tu elección.",6 contribuciones,6.0,Escrita el 18 de marzo de 2026,6 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Muy buena relación calidad/precio en un ambiente muy agradable.,MARISA A,"Una maravilla,en pleno centro de Madrid.
Todas pero todas las tapas están súper riquísimas.
Y los postres también,especialmente la Torrija de Santa Teresa esta para chuparse los dedos.
Una relación calidad precio de lo mejor que he visto y,un ambiente muy cosmopolita
Lo recomiendo al cien por cien.
Nosotras estuvimos en el de la Calle Alcalá,pero tienen más en otras zonas de Madrid.
Muchas gracias a Claudia por atendernos con tanta profesionalidad y amabilidad.
Nos volveremos a ver cuando regresemos de nuevo.
Muchas gracias.",2 contribuciones,2.0,Escrita el 16 de marzo de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,,,,,,
1779632234-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Noche de aplausos,David M,"Fuimos al restaurante vecino y la experiencia fue excepcional. El de Via Grand aplaudía. Escogimos 6 comidas entre 4 de nosotros. Se acabó la ensalada rusa - verduras! WTF. Pedí goteras carbonizadas sin goteras. Entonces pedí otra ensalada básica no disponible. Esperamos 30-40 minutos para que nos dijeran que no tenían los ingredientes. Si no tienes los ingredientes, entonces NO tomes el pedido y luego 30 minutos después admites que no tienes la capacidad de cumplir con el menú... .. muy pobre",1 contribución,1.0,Escrita el 16 de marzo de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Muy bien sitio para tapear,Ivanfernandezrionda,"Estuvimos en el día de ayer comiendo unas tapas.
Pedimos, fritura, arroz con marisco, tortilla, montaditos de solomillo y patatas y croquetas.
La verdad que los precios son muy baratos, las tapas son normales no muy grande pero de buena calidad.
Nos atendió Divina, que era divina como su nombre.
Hasta la próxima!",982 contribuciones,982.0,Escrita el 15 de marzo de 2026,"Oviedo, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b0/af/3e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b0/af/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/6e/e8/43/ivanfernandezrionda.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Muy buena ubicación todo muy rico,jesus e,"Cena con amigos, tiempo de espera 15 ,20 minutos,cena de tapas todas muy buenas buen servicio es mi segunda visita     muy positiva muy buena opción para cenar como fue nuestro caso.muchas gracias",8 contribuciones,8.0,Escrita el 9 de marzo de 2026,8 contribuciones,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/a4/10/33/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,
