web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,position,data19,data20,data21
1779687879-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,"Sin complicaciones, buena comida",SD1007,"Este lugar vale la pena el paseo fuera del centro de la ciudad 

Hay muy pocas mesas, tuvimos tanta suerte de llegar cuando alguien se iba, no había cola, pero llegamos bastante temprano para la comida - alrededor de las 5 pm 

Nos aconsejaron sobre el tamaño de la porción a elegir, para nosotros compartir (dos de nosotros) y fue perfecto. Teníamos filete y pollo - ambas carnes muy bien cocinado y sabía delicioso. Las salsas estaban geniales - puede que me hayan gustado un poco más, pero soy codicioso por las salsas 😂 y no pregunté, así que puede ser que puedas tener más 

El servicio fue increíble. Teníamos una porción de croquetas que eran divinas - literalmente se derritieron en su boca, no duerma en estos 

Las bebidas eran preciosas, el lugar es pequeño, tan fácil de comunicar con el bar. Había un tipo trabajando, que era fantástico - detrás de la barra, dando consejos sobre comida, barajando mesas - muy amable 

Experiencia encantadora en general. Precio razonable, buenas porciones, servicio fantástico",36 contribuciones,36,Escrita el 15 de marzo de 2026,"Chatham, Reino Unido",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/af/62/c7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/af/62/c6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/af/62/c8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,
1779687879-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Grata sorpresa,Ana Sabrina N,Encontramos el lugar de casualidad y la verdad que nos sorprendió. Pedimos la tabla de 30cm con sus 8 salsas y arrasó. Exquisita estaba. Recomendado.,5 contribuciones,5,Escrita el 26 de enero de 2026,"Valencia, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
1779687879-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Muy buena sorpresa,Vicenta Carmen M,Encontramos el lugar de casualidad y la verdad que nos sorprendió.  La comida exquisita.  No permiten reservas. El ambiente es muy tranquilo.,3 contribuciones,3,Escrita el 30 de diciembre de 2025,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1779687879-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Buenos precios y buen producto,laura r,"Fuimos a picar algo y nos encantó la tabla. La carne (solomillo y pollo) estaba tierna y muy jugosa. Nos sorprendió para bien. El ambiente muy agradable y precios normales, que en Madrid se agradece",25 contribuciones,25,Escrita el 18 de octubre de 2025,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/87/b3/bf/laura-r.jpg?w=100&h=-1&s=1,,,,
1779687879-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Sitio para comer o cenar rico y barato,María,"Fui a cenar con una amiga una calurosa noche de Julio que se convirtió en refrescante gracias a las fresquísimas cervezas que tiran divinamente allí. De cenar pedimos una de sus famosas tablas (ya me habían hablado de ellas otros amigos que  conocen el sitio) y... wou!! q ricas. Gastándonos poco dinero cenamos riquísimo y pasamos una velada muy divertida porque merece mención aparte su personal amable y simpático , en especial Antonio, que es el Alma de este lugar. Volveremos!!",2 contribuciones,2,Escrita el 23 de agosto de 2025,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,
1779687879-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,No volvere,Ana Belén G,La camarera amable y él hombre bastante desagradable.Muy malas formas de atender. Sitio demasiado pequeño y fuimos por referencias de Instagram y no se cumplen las expectativas.,1 contribución,1,Escrita el 14 de marzo de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,No vayais,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,
1779687879-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Excelente,Maria Florencia G,"Excelente atención, el personal muy amable y cordial.
La comida deliciosa y el ambiente muy copado, buena música. Tuvimos que esperar algo para ingresar, porque es pequeño, pero la espera valió.",3 contribuciones,3,Escrita el 7 de octubre de 2024,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/ba/a6/9b/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/17/10/40/caption.jpg?w=100&h=-1&s=1,,,,
1779687879-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Carnes tablas y buen rollo,Fernando P,Un sitio fantástico pero tan chiquitino que tienes que pelear por una mesa y hueco en la barra...pero para volver una y otra vez,27 contribuciones,27,Escrita el 12 de septiembre de 2024,27 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1779687879-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Excelente bar español,Partha S,"Vino por recomendación de Tripadvisor y estaba muy contento. Necesitaba un almuerzo tardío después de un vuelo temprano vía Amsterdam 

Encantado con la recomendación. Servicio rápido y amable. Buenas “vibras” sobre el lugar 

Buena cerveza en grifo

Tuvo la recomendación de Torero Tostas (Solomillo, Ceballo Caramelizado y Brie) - traducido aproximadamente como solomillo de ternera y cebolla caramelizada en tostadas - con un lado de papas fritas y alioli 

¡Muy bien! 

Muy satisfecho. 

Aquí en una conferencia de cirugía robótica por un par de días, pero realmente espero tener la oportunidad de volver antes de irme 

Muy recomendable",136 contribuciones,136,Escrita el 5 de junio de 2024,"Newcastle upon Tyne, Reino Unido",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7c/fb/15/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7c/fb/14/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/7c/fb/16/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/89/avatar010.jpg?w=100&h=-1&s=1,,,,
1779687879-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d5616788-Reviews-Gandario-Madrid.html,Solo para estudiantes,sonia,"No entiendo muy bien de donde sale la alta valoracion de este local.Es cierto que es bonito,pero la comida deja mucho que desear,sirven unos platos gigantes de patata con carne y varias salsas,ideal para estudiantes,pero poco mas.El resto de tapas son calidad media baja,con mucha fritanga y rebozado.Te ponen si o si las cañas dobles que se calientan en nada,no entiendo esta moda la verdad,no dan opcion a caña pequeña.",462 contribuciones,462,Escrita el 12 de mayo de 2024,462 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
