web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,data18,data19,data20,data21,image3
1779688202-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Un restaurante pequeño muy encantador.,Matthijs G,"Disfruté mucho del almuerzo aquí con mi hija. Este pequeño restaurante contaba con 8 mesas. Su anfitrión era muy acogedor y amable. El almuerzo de 3 platos, casero, servido rápida y orgullosamente, y muy asequible. Volvimos una segunda vez durante nuestra estancia de 4 días en Madrid. ¡Recomiendo encarecidamente a Matilda!",2 contribuciones,Escrita el 17 de mayo de 2026,2 contribuciones,2.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,
1779688202-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Pasamos un gran tiempo aquí durante las vacaciones de la semana de amigos. El mejor lugar,Gabriela S,Gran lugar con un ambiente acogedor y variedad de comida y bebidas,11 contribuciones,Escrita el 12 de abril de 2026,11 contribuciones,11.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,
1779688202-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lindo y acogedor lugar para desayunar,carlos antonio g,"Es un lugar pequeño con una atmósfera super acogedora. La comida es variada, recomiendo la Tortilla de patatas con un buen café y un Croissant. Se necesita suerte para encontrar mesa al llegar, pero si no es el caso, vale la pena esperar mesa",32 contribuciones,Escrita el 4 de abril de 2026,"Metepec, México",32.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/db/f1/d9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1779688202-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Estupendo,Miguel Antonio S,"Hemos desayunado un par de días aqui  porque nía alojabamos cerquita, lo encontramos de casualidad y fue todo un acierto.",1 contribución,Escrita el 18 de marzo de 2026,"Mogarraz, España",1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,
1779688202-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Perfecto almuerzo memorable en Matilde,Bellamyp,"Después de leer sobre el restaurante no teníamos idea de lo único y especial que sería un almuerzo simple allí. El lugar es pequeño, íntimo y colegial. Este es un lugar para compartir una comida con amigos o familiares y sentirse relajado y cuidado. Mi hija y yo tuvimos la suerte de parar en cuando una mesa estaba disponible (muchos estaban esperando después de nosotros) , y tenía una comida deliciosamente satisfactoria que se ofrece de una opción muy limitada de especiales diarios. No hay menú regular. El propietario, que era encantador y divertido y un políglota impresionante, nombró los platos ofrecidos y los explicó. El lugar solo tiene unas 8 - 10 mesas. ¡Si viviera en Madrid, sin duda sería un habitual!",71 contribuciones,Escrita el 15 de noviembre de 2025,"Cleveland, Ohio",71.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,
1779688202-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Maravilla pura,Vicky V,"Maravilloso. La comida casera, cuidada y muy rica. Un sitio para volver una y mil veces. En definitiva, uno de los mejores sitios para desayunar en Madrid, tostadas riquísimas, tartas muy buenas, café con mucho esmero. Y el menú del día, una delicia. Y su equipo humano, un 10. Además, de muy buena relación calidad-precio. Como foodie empedernida, este es uno de mis sitios favoritos en Madrid.",22 contribuciones,Escrita el 13 de septiembre de 2025,"Madrid, España",22.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,
1779688202-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Lugar con encanto y desayuno rico,Laura M,"Muy bien sitio para desayunar. Café rico, amplia oferta de desayunos, lugar con encanto y encargado muy amable y atento a todos los detalles.",14 contribuciones,Escrita el 7 de septiembre de 2025,"Pamplona, España",14.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,
1779688202-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Desayuno local,Love to eat,"Desayuno con un montón de opciones locales para elegir, a un precio muy decente también. Personal amable y un lugar lindo con un ambiente local. Fue delicioso y sin duda volvería a visitar ☕🥪",34 contribuciones,Escrita el 20 de julio de 2025,"Helsinki, Finlandia",34.0,Mostrar original,,,,,,Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/87/8c/5f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,
1779688202-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Espectacular,Pati J,"Es el mejor restaurante de Madrid!!! Me ha gustado mucho la tortilla de patata, el risotto increíble, el gazpacho espectacular, y el guiso de merluza y el flan de café la bomba!!! Lo mejor de todo el restaurante es Fernando!! Un sitio único entre la multitud impersonal turística de Madrid, un lugar donde sentirte como en casa, acogedor, tranquilo, auténtico, comida casera de verdad...",5 contribuciones,Escrita el 25 de junio de 2025,5 contribuciones,5.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/b7/b8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e4/47/0d/pati-j.jpg?w=100&h=-1&s=1,,,,,
1779688202-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,"Gran comida, gran relación calidad-precio, super propietario, y gran ambiente",Bob M,Fantástica comida y gran ambiente. Menú de la hora del almuerzo gran relación calidad-precio y gran elección. El propietario es increíble y realmente conocedor de los alérgenos (gluten en nuestro caso). Muy recomendable,15 contribuciones,Escrita el 1 de junio de 2025,"Chester, Reino Unido",15.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,
1779688202-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,"Rápido, amable y sabroso",Paul H,"Vinimos aquí para desayunar nuestra primera mañana en Madrid y nos gustó tanto que volvimos dos veces más. El menú del desayuno es pequeño, pero cada artículo es sabroso. El café es genial. El ambiente es agradable y relajado. Pero la mejor parte es el servicio. Simplemente estelar. Su extrema amabilidad no los frena en modo alguno. Extremadamente eficiente pero encantador. Muy recomendable.",15 contribuciones,Escrita el 24 de mayo de 2025,"Branford, Connecticut, USA",15.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,
1779688202-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6404685-Reviews-Matilda-Madrid.html,Entre anticuarios y trotamundos,CVAZ,"Excelente restaurante en cuanto al trato, la intimidad,  la atención y la calidad de los platos servidos. 
Mención especial a la decoración, mezcla de anticuario y trotamundos, que te acompaña a un ambiente ""cosi"".
¡Volveremos!",7 contribuciones,Escrita el 21 de abril de 2025,7 contribuciones,7.0,,Calidad/precio,Ambiente,Servicio,Comida,Ambiente íntimo. Dejarse llevar por la tranquilidad y hablar bajito.,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,
