web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,position,image3,image4
1779688553-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,¡Buena comida india!,Rajesh K K,"Ubicado lejos del centro de Madrid, en un diseño de oficina y residencial, este es un restaurante que sirve deliciosa comida india. Parece un poco acogedor, pero pudo acomodar a nuestro gran grupo de 40 personas. Dispone de un bar completo y también sirve cerveza de grifo. 

Tuvimos cenas tipo buffet durante dos noches y había buena variedad en los platos.",2480 contribuciones,2480,Escrita el 22 de mayo de 2026,"Bangalore, India",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/4e/6f/46/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ec/7e/27/rajesh-k.jpg?w=100&h=-1&s=1,,,
1779688553-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,No lo sé no he comido sigo esperando solo el aperitivo,Matías A,Una hora 30 esperando la comida,4 contribuciones,4,Escrita el 3 de mayo de 2026,4 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/1f/08/05/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/13/1e/ac/matias-a.jpg?w=100&h=-1&s=1,,,
1779688553-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Mejor indio,Yvonne C,"Excelente ubicación, el personal no podría haber sido mejor",1 contribución,1,Escrita el 21 de marzo de 2026,1 contribución,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,
1779688553-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,¡Excelente!,Justine D,"Excelente comida, el mejor pollo con mantequilla que he probado. Todo fresco y sabroso. Casa roja también excelente servicio también.",3 contribuciones,3,Escrita el 21 de marzo de 2026,3 contribuciones,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/be/92/4b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,
1779688553-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Una muy buena opción con o sin tiempo!!,Sofia F,"Es delicioso!!! El menú está muy bien y tienen la cortesía de darte más pan o arroz si así lo deseas! La atención inmejorable, son muy educados y dispuestos a explicar los platos y de donde vienen, y a demás si lo necesitas son muy rápidos a medio día!!! Un 10! Repito con mucha frecuencia, me encanta!",1 contribución,1,Escrita el 6 de marzo de 2026,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,
1779688553-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Buenas comida y buen servicio.,Road44187772779,Una cena excelente. Atendidos con mucha amabilidad. Un restaurante muy recomendable.,1 contribución,1,Escrita el 21 de enero de 2026,"Majadahonda, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,
1779688553-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente comida y Servicio,Pioneer55926640497,"¡Una joya escondida para la cocina india en Madrid! 
Visitar el restaurante Arpit en el lugar Maria Tubau Street ha sido una experiencia absolutamente increíble. No es fácil encontrar auténtica comida india en Madrid, pero este lugar realmente entrega! 
La comida era deliciosa y llena de sabores auténticos — cada plato fue cocinado a la perfección. Pero lo que realmente hizo la experiencia especial fue el personal y el propietario. Fueron increíblemente humildes, amables y Recibimiento, lo que nos hizo sentir como en casa. 
También aprendimos que Arpit ofrece servicios de catering, así como almuerzos y cenas grupales en su restaurante, una gran opción para eventos o reuniones. 
Muy recomendable si buscas una auténtica hospitalidad india y buena comida en Madrid",2 contribuciones,2,Escrita el 9 de octubre de 2025,2 contribuciones,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/57/22/c6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1779688553-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Tardanza inadmisible y no cogen teléfono,luis v,"Hace más de una hora que hemos realizado el pedido y no llega. Cada vez queda más para que llegue según la aplicación en vez de menos. Ahora aparece en preparación. Llevo 20 minutos llamando al restaurante y no cogen el teléfono. Nos habeis fastidiado la cena, muchas gracias",35 contribuciones,35,Escrita el 26 de agosto de 2025,35 contribuciones,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1f/45/18/luis-v.jpg?w=100&h=-1&s=1,,,
1779688553-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida excelente y servicio de diez,Fran S,"Comida riquísima con un toque casero muy notable que la hace súper auténtica.
El servicio es excepcional. Todos atentos, simpáticos, amables. Un placer charlar con ellos y pedirles consejo.",110 contribuciones,110,Escrita el 3 de agosto de 2025,"Madrid, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/52/b3/caption.jpg?w=100&h=-1&s=1,,,
1779688553-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida de Super India,Vacation293610,"Gran y sabrosa comida, tomamos pollo madras y pollo al curry con nan y arroz byrian. El camarero era super cool y amable (de Rajasthan). Recomiendo cenar allí.",2 contribuciones,2,Escrita el 1 de abril de 2025,2 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,
