web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,data17,data18,image4,image5,image6,image7,image8,image9,position,position2,image10
1779689171-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Gran experiencia gastronómica a precios razonables,OSCAR C,La comida fue excelente con un menú degustación a 65 euros con todo incluido. Éramos 14 personas y todo estaba en su punto y cantidades más que generosas. Se nota el buen producto y un toque de sofisticación. El servicio de 10.,17 contribuciones,17,Escrita el 12 de octubre de 2025,17 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Aceptable pero con aspectos de mejora,CrazyMary2013,"En general los platos tienen una calidad aceptable y la relación calidad precio es buena, sin embargo, la mayoría de los platos que pedimos (incluidos los nigiris) tenían demasiada salsa que restaba sabor al producto. En concreto, la ensaladilla rusa no merece la pena y el arroz de los nigiris no esta en su punto. 
En relación al servicio, demasiado apresurado y atosigaban retirando los platos cuando todavía no habías acabado el mismo y además había muy poca gente. El café es de mala calidad.",9 contribuciones,9,Escrita el 6 de agosto de 2025,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,,,,
1779689171-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Para sibaritas,Ignacio I,"La comida está muy bien preparada y los sabores son ricos, en especial el ceviche de corvina, que destaca por su frescura y sazón —aunque más bien parece una tapa que un plato. En general, la propuesta gastronómica es interesante, pero las porciones son muy pequeñas y los precios no se justifican.

Un detalle a tener en cuenta: cobran 7,50 € por el pan, algo que no se avisa claramente y que puede sorprender. Éramos tres personas, pedimos con moderación y aun así pagamos 120 € y salimos con hambre.

Buena cocina, pero relación calidad-precio muy desbalanceada. Ideal para quienes buscan probar algo distinto sin mirar demasiado el gasto… o el apetito.",1 contribución,1,Escrita el 1 de agosto de 2025,1 contribución,Ojo con lo que cobran por el pan,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una experiencia gastronómica redonda en el corazón de Madrid,Luis G,"Tuvimos la suerte de comer en Bacira el pasado viernes al mediodía y la experiencia fue excelente de principio a fin. Elegimos el menú degustación y cada pase fue una combinación muy bien pensada de técnica, sabor y presentación.

La comida arranca fuerte con una delicada emulsión de foie de pato sobre crema de maíz, seguida de una selección de bocados fríos muy bien presentados: canapés de salmón con flor de borraja, paté con pétalos de clavel… y un ostrón de tamaño épico con vinagreta asiática que merece mención aparte.

A lo largo del menú desfilan tiraditos de lubina y dorada, un niguiri flambeado, una croqueta de jamón cremosa por dentro y crujiente por fuera, y platos más potentes como una sorprendente panacotta de manitas rellena de carrillera o una albóndiga de ternera cocinada al punto justo.

El broche dulce: pastel de zanahoria con helado y crema de calabaza, especiado y reconfortante.

El servicio fue atento, con ritmo bien medido y explicaciones claras de cada plato. El ambiente del local es tranquilo, moderno sin caer en la frialdad, y el conjunto se siente muy cuidado sin resultar pretencioso.

Una opción más que recomendable si buscas cocina fusión de calidad en Madrid, con platos que van más allá del efecto visual y dejan huella en el paladar. ¡Repetiremos!",86 contribuciones,86,Escrita el 12 de mayo de 2025,"Madrid, España","El espacio está ubicado en uno de los barrios más castizos y emblemáticos de Madrid, barrio de Chamberí, antiguo local reformado.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d7/63/fd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d7/63/fe/caption.jpg?w=300&h=300&s=1,,,,,,,,,,,,
1779689171-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una opción interesante,Angel d,"Todo bien sin llegar a excelso. Buen servicio y buena cocina. Las croquetas siguen siendo estupendas y platos fuera de lo habitual. Merece una visita. Los aseos de acceso "" non grato""",130 contribuciones,130,Escrita el 27 de febrero de 2025,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/20/82/4d/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"Comida excepcional, el servicio debe mejorar",Eduardo P,"La comida excepcional, la atención debe mejorar sustancialmente. Me parece demasiado iluminado el local, como que pierde intimidad",77 contribuciones,77,Escrita el 1 de noviembre de 2024,"Guayaquil, Ecuador","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/b7/eb/b1/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Comida de fusión muy rica,Ignacio P,"Comida de fusión en un ambiente agradable, he ido varias veces y no decepciona.
Muy logrado el tiradito de lubina a la bilbaína y excelentes las albóndigas de rabo de toro, en general todo está rico,… he ido varias veces y seguiré repitiendo",2 contribuciones,2,Escrita el 5 de octubre de 2024,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b5/6e/61/ignacio-p.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"DEBE IR, DELICIOSO!!",SuperMomOf2,"LOVE LOVE LOVE Bacira! 

Excelentes sabores, servicio sincero y eficiente, la comida era entretenida para todos los sentidos. 

Tuvimos cursos de cata + maridaje de vinos, los niños tenían a la carta. Muy barato por su calidad. 

Sin duda volveríamos a esto la próxima vez cuando estemos en Madrid. 
¡Muy recomendable!",19 contribuciones,19,Escrita el 5 de agosto de 2024,HONOLULU,,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0e/d4/de/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0e/d4/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una joya en Madrid,OJ_1999,"Pequeño lugar encantador fuera del centro de la ciudad, sin duda vale la pena el desvío. La comida es absolutamente increíble de principio a fin, y el servicio atento. ¡Destaquen!",121 contribuciones,121,Escrita el 20 de julio de 2024,"Amersham, Reino Unido",,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/e3/c2/c6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/e3/c2/c7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/45/d7/5e/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1779689171-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Restaurante en declive,Jesus D,"Comida regular y trato fatal, el encargado antipático y mal encarado. 

Este restaurante está perdiendo categoría día a día. De como empezó a lo que es hoy, una barbaridad. 

La política de reservas de hacérsela mirar y ahora hay que dar la tarjeta para hacer la reserva.",2 contribuciones,2,Escrita el 13 de julio de 2024,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,,,,,,
