web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,data18,data19,data20,data21,data22,data23,data24
1779690861-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Experiencia decepcionante,Nora G,"La ensalada estaba buena, pero encontré un gran pedazo de silicona en la lubina. Cuando le pregunté al personal al respecto, dijeron que no tenían idea de por qué estaba allí y todavía cobraban el precio completo. Experiencia decepcionante.",1 contribución,1.0,Escrita el 7 de marzo de 2026,1 contribución,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/9d/f4/0e/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,¡Qué lugar tan fabuloso!,Jonathan p,"Tuvimos un tiempo maravilloso aquí. 

Fue muy amable y relajado. Inglés hablado sin alboroto. 
La comida es espectacular. Tuvimos una hermosa arepa y empeñada como entrantes pero la verdadera alegría fue el cerdo en salsa de café (! ) y la lubina en maravilloso arroz crujiente. 

A la vuelta de la esquina del Teatro Real, seguro que es una visita obligada. Quizás estés ensayando; quizás estés actuando; quizás estés mirando; quizás solo estés en la zona - por favor, ve a este restaurante y relájate - la comida es genial, la bienvenida es cálida y la rioja es una maravilla. 

Disfruta.",262 contribuciones,262.0,Escrita el 4 de febrero de 2026,"Salisbury, Reino Unido",Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/de/57/92/caption.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Casa Jaguar en Ópera.,Ángeles P,"Era la primera vez que íbamos. Una comida entre amigas. Todo lo que hemos degustado ha sido exquisito.
Pero aunque todo me ha parecido buenísimo, mi pasión es la repostería.
La tarta de Lima con maracuyá estaba espectacular. 
También quería destacar la atención de la camarera que ha sido de 10  y el dueño del establecimiento encantador.",10 contribuciones,10.0,Escrita el 19 de diciembre de 2025,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/04/5c/23/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/04/5c/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/04/5c/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Vete, no te decepcionarás",Nader B,Fuimos allí dos veces durante nuestra estancia en Madrid y todos los aperitivos y platos principales eran excelentes. Muy recomendable. El taco era el mejor taco que he probado el aperitivo de camarones era único y sabroso,8 contribuciones,8.0,Escrita el 21 de octubre de 2025,8 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Comida de amigos, para repetir",Maria A,"Excelente cocina, sabrosa y con mimo, un trocito de América en el plato
Nos ayudaron las recomendaciones de los camareros, muy acertadas
Todo el personal de sala muy amable
El local es cálido e intimista",2 contribuciones,2.0,Escrita el 14 de julio de 2025,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Cálida bienvenida, excelente comida y bebidas",paulbakerfamily,"Excelente comida con un ambiente cálido y agradable. Realmente disfruté de las bebidas de la noche, regresado al día siguiente para la cena. 
Excelente lubina, excelente pastel de lima clave también. Vale la pena visitarlo.",27 contribuciones,27.0,Escrita el 16 de mayo de 2025,"Gloucester, Reino Unido",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Buenos aires nuevos en la cocina,Compass33698181065,"Excelente trato y excelentes platos a degustar. Todo riquísimo, variado, innovador, aunque basado en platos típicos",1 contribución,1.0,Escrita el 4 de mayo de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Diversión & delicioso,Douglas L,Platos maravillosos y creativos - latín con un toque. Los tacos de cerdo eran excelentes y la lubina era perfecta! Nacho withguacamole fue un entrante maravilloso.,3 contribuciones,3.0,Escrita el 2 de mayo de 2025,3 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,
1779690861-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Perfecto para grupo de amigos o en pareja,Paula25h,"Cena de cumpleaños con amigos de lo más top - con sofás, juegos de mesa disponibles, además de una carta con variedades latinas como empanadas argentinas, arepas…y cócteles exquisitos",4 contribuciones,4.0,Escrita el 14 de abril de 2025,4 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/99/f3/ca/caption.jpg?w=300&h=300&s=1,,,,,,,,,,
1779690861-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,¡No te pierdas este lugar!,Explorer768034,"Mi esposa y yo tuvimos la suerte de encontrar esta joya mientras estábamos de vacaciones en Madrid. La comida era excelente, así como el servicio. Empezamos con el aperitivo de lubina y camarón. ¡Ambos fueron increíbles! Tuve una margarita tradicional y no decepcionó. Terminamos con el lomo de ternera preparado medio raro. ¡Cocinado a la perfección!",6 contribuciones,6.0,Escrita el 9 de abril de 2025,6 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/8f/3b/d9/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,,
