web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,data18,data19,data20,data21,image3,image4,image5,image6
1779691117-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Experiencia muy buena,Cristina Baraja,"Excepcional servicio y atención como siempre. Es un sitio muy recomendable con una comida original y muy rica.
Merece mucho la pena visitarlo",2 contribuciones,Escrita el 31 de enero de 2026,2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Experiencia estupenda,Isabel R,Comida muy rica y camareras muy profesionales y simpáticas.Nos ha encantado como nos han tratado Laura y Lili.Repetiremos,3 contribuciones,Escrita el 31 de enero de 2026,3.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,"Muy original, platos muy sabrosos.",AGUSTIN A,Comida desenfadada y muy gustosa. Ambiente muy agradable. Servicio impecable y muy ágil. Por supuesto muy recomendable.,6 contribuciones,Escrita el 17 de enero de 2026,6.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Gente genial y comida,Alberto M,"Comida increíble, ambiente súper agradable... pero lo mejor de todo es el servicio de Lily",2 contribuciones,Escrita el 17 de enero de 2026,2.0,,,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Un gran descubrimiento,Galisteo81,"Comida y servicio excelente en un lugar acogedor con muy buena relación calidad-precio. Desde el primer minuto, Lili nos hizo sentir como en casa; gracias por tu paciencia y tus recomendaciones ;-) El sistema de pedido 'online' es muy cómodo y permite añadir platos en cualquier momento. La W.URGER Mi Amol Cubano,  simplemente espectacular, igual que el Chootis Madrileño Dulzón. Una gran idea los licores y las copas al peso. Un restaurante original y altamente recomendable.",5 contribuciones,Escrita el 13 de enero de 2026,5.0,Calidad/precio,Ambiente,Servicio,Comida,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Excelente,Marilyn F,"Excelente servicio,  comida fusión espectacular. Lugar tranquilo y acogedor para una comida o cena en pareja o amigos.",1 contribución,Escrita el 10 de enero de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Divertido y sorprendente,Marga T,"El local está decorado con un estilo muy colorido, las camareras son muy amables y eficientes (Estefanía y Laura) y la comida es deliciosa y sorprendente.",1 contribución,Escrita el 13 de diciembre de 2025,1.0,,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/f9/ae/a9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Fue increíble,Sissi C,"Fue increíble, la atención espectacular y la comida superó todas las expectativas. Laura y Estefani fueron las encargadas de brindarnos una atención de 5 estrellas.",1 contribución,Escrita el 30 de noviembre de 2025,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,SIEMPRE UN ACIERTO,Cristian B,"Es un imprescindible si vienes a Madrid, cualquier plato que pruebes estará mejor que el anterior, siempre que vengo a Madrid no fallo. El personal muy amable y siempre y la comida espectacular, hemos probado casi de todo y todo muy bueno. MUY RECOMENDABLE.",1 contribución,Escrita el 29 de noviembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,Cualquier plato está insuperable.,1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,La experiencia completa nos fascinó,Go785409,"Desde el inicio el personal te explica cómo funciona todo y te hace recomendaciones sobre la carta que, en nuestro caso, nos alegramos de haber seguido.",1 contribución,Escrita el 28 de noviembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,¡Repetiremos!,Cruiser50282772960,"Muy buena la experiencia, comida muy rica y el sitio muy bien decorado. Los camareros muy atentos y amables. ¡Volveremos sin duda!",1 contribución,Escrita el 15 de noviembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Comida increíble,Steve T,La comida era deliciosa! Probamos una variedad de platos y todos eran increíbles. Una de las mejores comidas que tuvimos en Madrid. Recomendamos encarecidamente!,7 contribuciones,Escrita el 13 de noviembre de 2025,7.0,,,,,,7 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Buena atención y comida rica,Adrian H,La comida rica y la atención rápida y agradable. El precio correcto por la zona y el local muy bonito y cómodo. Para repetir,8 contribuciones,Escrita el 13 de noviembre de 2025,8.0,,,,,,"Valdemoro, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/bd/da/54/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Disfrutando en un restaurante que nos encanta,Gabriel J,"Comida servicio y ambiente 10. Nos gusta disfrutar de platos originales y llenos de sabor, buena música de fondo y un servicio rápido y amable.",5 contribuciones,Escrita el 9 de noviembre de 2025,5.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",5 contribuciones,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,,,
1779691117-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Excelente,María Teresa D,Excelente servicio: Laura y Estephani. Los platos sorprenden por su originalidad y sabores. Ambiente muy agradable.,10 contribuciones,Escrita el 2 de noviembre de 2025,10.0,,,,,,10 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9d/69/be/caption.jpg?w=300&h=300&s=1,,,,,,,,,,,
1779691144-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Excelente,pablo m,"Stephanie se preocupó para que estemos comodos y a gusto en todo momento, la comida excelente. Volveremos sin dudas. Gracias por todo",4 contribuciones,Escrita el 26 de octubre de 2025,4.0,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/82/bd/ee/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Cena de cumpleaños,Alejandro S,"Buena experiencia en un sitio innovador y poco habitual 
Antencion Top
En un sitio modernista,original de fusión que combina comida sudamericana y oriental.",1 contribución,Escrita el 23 de octubre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Horror,Ramon M,"No he tenido una experiencia peor en un restaurante. Empezando por la dificultad para entrar, tienes que entrar con código QR. Tienes que pedir todo por su aplicación. 
La comida mediocre, no sabes lo que está comiendo",4 contribuciones,Escrita el 20 de octubre de 2025,4.0,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/26/27/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,0,,,,,,,,,
1779691144-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17835300-Reviews-WelkhomeClub-Madrid.html,Excelente,Javier Z,"Nos encantó la cena , la fusión de sabores .
La atención de estefany fue estupenda y el lugar super bonito y acogedor,volveremos sin falta",1 contribución,Escrita el 12 de octubre de 2025,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,0,,,,,,,,,
