web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4
1779691768-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Auténtico italiano,Steve H,"La comida fue excelente, lo recomendaría.",1 contribución,1.0,Escrita el 16 de mayo de 2026,1 contribución,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1
1779691768-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,"Buen servicio, comida seleccionada.",Katerina F,"Buen servicio, comida seleccionada.",1 contribución,1.0,Escrita el 3 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1
1779691768-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Pa no repetir,Faustino f,"Simplemente no tengo palabras para describir la basura de cena que nos han dado, las pizzas no tenían nada de relleno y quemadas por abajo, la pasta estaba sin cocer, era harina cruda",2 contribuciones,2.0,Escrita el 27 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4d/43/08/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1
1779691768-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Maravilloso,Mirian A,"Pura magia. Es imprescindible si estás en Madrid. Absolutamente todo era de primera categoría: su servicio, su vibra, su gloriosa comida. Tuvimos el mejor Tiramisu que hemos tenido.",5 contribuciones,5.0,Escrita el 28 de diciembre de 2025,5 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1
1779691768-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Falta de atención,Crysta M,"Llegamos a las 13:30 para come. Solo había dos o tres mesas ocupadas. Pedimos una mesa para mi pareja , mi bebé de 1 año y yo. Nos dan una mesa y nos dicen que nos la montan enseguida y con las mismas se olvidan de nosotros. Montan otras mesas de clientes que llegan después de nosotros e incluso les dan la carta y les toman nota y seguimos esperando. Al rato se acuerdan de nosotros y nos montan la mesa. Les habíamos pedido una trona para el bebé y también se olvidaron.. tuvimos que repetirlo dos veces. La comida es cara, muy cara para la calidad que ofrecen. Dos platos de pasta y dos bebidas: casi 60 euros. Es demasiado hasta para el centro de Madrid. La pasta llegó fría y mal cocinada. Le pongo dos estrellas  la atención de uno de los camareros, super simpático que, en cuanto se dio cuenta de que no nos estaba atendiendo el chico que se supone que nos iba a atender, intentó subsanar el error rápidamente y con mucha amabilidad.",59 contribuciones,59.0,Escrita el 8 de diciembre de 2025,San Javier,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/36/7d/17/caption.jpg?w=100&h=-1&s=1
1779691768-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buena comida; pero el servicio no está a la altura,Juan Carlos L,"Reservamos porque guardábamos buen recuerdo de la comida antes de la pandemia. La comida, aunque algo cara, merece la pena; pero el servico es inapropiado para las ínfulas del local, porque no es eficiente, sino algo lento y, en esta ocasión, bastante arrogante, casi rayano en la descortesía. De entrada, se nos coloca en una mesa exigua cuando veíamos mesas más grandes vacías u ocupadas por dos personas. Esto no es un gran problema, pero con el primer plato, en plena charla, el camarero se aproxima sin decir ni mu con la clara intención de que facilitásemos la colocación, como hicimos. No oímos las gracias, si es que se dieron.
Al final, llegó la traca. Pedimos postre y café, por este orden. Llegó el café, pero no el postre. Ante la tardanza , pedimos la cuenta y pedimos, es obvio, que se rectificaso. En lugar de pedir, en primer lugar, disculpas, escuchamos explicaciones que no pedimos a modo de excusa. Por cierto, si es que el susodicho leyere esto, dudamos que el local tenga un aforo de 150 personas. En cualquier caso, el local no estaba lleno. Si es que volvemos, tardaremos; hay algún establecimiento con mejor ""savoire faire"", ""più competente"".",4 contribuciones,4.0,Escrita el 18 de diciembre de 2024,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1
1779691768-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Horrible experiencia,Eva,"Estuve cenando con mi marido un miércoles de Noviembre, nos pusieron en el piso de abajo. Desde el momento en el que bajamos escuchamos que en la mesa de al lado había 4 personas gritando todo el tiempo, teníamos que habernos ido en ese momento pero no lo hicimos. Eran 4 pero parecían 17, además al estar abajo como que se oía más no lo se pero nos dieron la cena. 

No hablaban español así que no podía acercarme a decirles que en el mundo hay más gente y que si querían liarla como la estaban liando reserven el piso completo para ellos solos. Que sepáis que si os tocan unos maleducados al lado los camareros no van a decirles nada. No siquiera recuerdo si la pizza estaba buena o mala del dolor de cabeza que me estaban poniendo solo quería acabar e irme. No volveré jamás.",162 contribuciones,162.0,Escrita el 15 de diciembre de 2024,"Donostia-San Sebastián, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/60/avatar038.jpg?w=100&h=-1&s=1
1779691768-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Atención con cordialidad a la hora de la llegada. Aunque sea delicioso.,Marco R,"Aunque al principio nos hicieron pasar un mal trago por parte de la sub gerenta o encargada, todo lo demás fue muy cordial y delicioso. La preparación de los alimentos excelente, los vinos bien aunque podría haber más etiquetas. Muy buen ambiente. En resumen: Vale la pena lo delicioso…",6 contribuciones,6.0,Escrita el 4 de octubre de 2024,6 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b3/eb/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b3/eb/92/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b3/eb/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1779691768-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente,Daniel C,"La comida es muy rica y los precios muy buenos, vale la pena visitarlo, el postre genial realmente, vale la pena visitarlos",5 contribuciones,5.0,Escrita el 3 de octubre de 2024,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1
1779691768-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Como en Italia,Cristina C,Estuvimos cenando y fue como si hubiéramos viajado a Italia en el comedor de abajo hacia fresquito y el trato fue excepcional desde el primer momento. La comida riquísima y de precio sin excesos. Volveremos seguro.,29 contribuciones,29.0,Escrita el 24 de agosto de 2024,29 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/40/e4/61/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/40/e4/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/40/e4/63/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/3f/e9/17/caption.jpg?w=100&h=-1&s=1
