ta;;;;;;
Id_Restaurante;Restaurante;Votaciones;Valoracion;new_rating;Dirección;Estado
1;Los Montes de Galicia;13670;4.8;4.75;Calle Azcona, 46;
2;Kathmandu Tandoori House;2790;4.9;4.7;Calle Acuario, 11;
3;Grama Lounge;4831;4.8;4.68;Calle de la Cruz, 19;
4;Sakale;3828;4.8;4.66;Calle del molino de viento, 4;
5;Zenith Caffè - Valverde;3969;4.8;4.66;Calle Valverde, 28;
6;Tabernas El Sur;10207;4.7;4.65;Calle Torrecillas del leal, 12;
7;Taberna El Sur De Huertas;3643;4.8;4.65;Calle de las huertas, 24;
8;Taberna Más Al Sur;7475;4.7;4.63;Calle Santa Isabel, 35;
9;Inclán Brutal Bar;6137;4.7;4.62;Calle de Álvarez Gato, 4;
10;SteakBurger Gran Vía 16;6077;4.7;4.62;Calle Gran Vía, 16;
11;Pastamore Alcalá;1638;4.9;4.61;Calle de Alcalá, 191;
12;El Sur de Moratín;2379;4.8;4.6;Calle Moratín, 19;
13;SteakBurger Arenal I Hamburguesas Madrid;2251;4.8;4.59;Calle del arenal, 26;
14;Ástor;2153;4.8;4.59;Calle del almendro, 9;
15;Azotea Forus Barceló;2282;4.8;4.59;Calle de Barceló, 6;
16;Oven Mozzarella Preciados;2263;4.8;4.59;Calle Preciados, 11;
17;SteakBurger Fuencarral;4063;4.7;4.59;Calle Fuencarral, 73;
18;Steakburger Atocha | Hamburguesas Madrid;4165;4.7;4.59;Calle Atocha, 110;
19;Trattoria Pulcinella;3207;4.7;4.56;Calle regueros, 7;
20;Oven Mozzarella Atocha | Italiano Madrid;3282;4.7;4.56;Calle Atocha, 114;
21;Mu! El Placer De La Carne;3030;4.7;4.56;Calle chinchilla, 3;
22;Restaurante Dcorazon;3094;4.7;4.56;Plaza Mayor, 30;
23;SteakBurger Gran Vía 55;1760;4.8;4.55;Calle Gran Vía, 55;
24;Rosi La Loca;8945;4.6;4.55;Calle de Cádiz, 4;
25;Oven Mozzarella Gran Via 55;2674;4.7;4.54;Calle Gran Vía, 55;
26;Oven Mozzarella Gran Vía 6;5951;4.6;4.53;Calle Gran Vía, 6;
27;Pizzart Villa Luchana | Pizzeria Madrid;1069;4.9;4.52;Calle de luchana, 17;
28;GastroVía 61;2313;4.7;4.52;Calle Flor baja, 3;
29;Taberna de Peñalver;2203;4.7;4.52;Calle del conde Peñalver, 90;
30;Oven Mozzarella Fuencarral;4333;4.6;4.51;Calle Fuencarral, 74;
31;SteakBurger Preciados;1862;4.7;4.5;Calle Preciados, 42;
32;La Bistroteca;1257;4.8;4.5;Calle Espartinas, 7;
33;Meson Restaurante La Mi Venta;3574;4.6;4.49;Plaza marina española, 7;
34;Malafemmena;1692;4.7;4.48;Calle del doctor Esquerdo, 13;
35;Steakburger - Luchana;1665;4.7;4.48;Calle Luchana, 17;
36;Oven - Mozarrella Bar;1672;4.7;4.48;Calle San Juan de Ortega, 26;
37;El miniBAR;2713;4.6;4.47;Mesón de Paños, 1;
