Id_Restaurante,latitud,longitud
1,40.4346398,-3.6683275
2,40.4742918,-3.5786027
3,40.415528,-3.7017525
4,40.4232513,-3.7037052
5,40.4941925,-3.687351
6,,
7,40.413673,-3.6994414
8,40.4100302,-3.6969732
9,40.4151014,-3.7019298
10,40.4682967,-3.8707093
11,40.4276705,-3.6699464
12,40.4124057,-3.6970554
13,40.4178092,-3.7083596
14,40.4127187,-3.709592
15,40.4265449,-3.6987863
16,40.4184426,-3.7050309
17,40.42487,-3.7008499
18,40.4095834,-3.6937561
19,40.4246015,-3.6965407
20,40.4094805,-3.6933719
21,40.4194856,-3.7040631
22,40.4158879,-3.7066396
23,40.4682967,-3.8707093
24,40.4157857,-3.7030024
25,40.4682967,-3.8707093
26,40.4734439,-3.8722742
27,40.4302985,-3.7007009
28,40.4220423,-3.7096873
29,40.4336745,-3.6747895
30,40.4251144,-3.7007363
31,40.4198086,-3.7072623
32,40.4243764,-3.679127
33,40.4203804,-3.7125545
34,40.4264203,-3.6681965
35,40.4302985,-3.7007009
36,40.5084962,-3.6743144
37,40.4162893,-3.7091977
38,40.4585206,-3.6944072
39,40.4183439,-3.6743147
40,40.4246365,-3.6963848
41,40.4117567,-3.6954293
42,40.4124721,-3.6954412
43,40.4208154,-3.7021189
44,40.4145645,-3.7067471
45,40.4012101,-3.7176244
46,40.8054973,-3.7697049
47,40.4234748,-3.6993507
48,40.4816715,-3.688956
49,40.4131256,-3.710878
50,40.5952964,-4.1423878
51,40.4265674,-3.7163351
52,40.3985887,-3.7595707
53,40.3293733,-3.8554613
54,40.4210924,-3.7041061
55,40.4214922,-3.6835386
56,,
57,40.4157405,-3.7017617
58,40.4110908,-3.7066278
59,40.4218831,-3.7009642
60,40.4120531,-3.709996
61,40.4132903,-3.6965712
62,40.445438,-3.6956183
63,40.463683,-3.6881311
64,40.412702,-3.6992329
65,40.4460488,-3.6995504
66,40.4157137,-3.6991222
67,40.4157405,-3.7017617
68,40.4202634,-3.675598
69,40.3898034,-3.6608316
70,40.4577954,-3.6859491
71,40.4268255,-3.7014108
72,,
73,40.4165511,-3.7076926
74,40.4145549,-3.6997005
75,40.4241368,-3.6974675
76,40.4125332,-3.712422
77,40.421296,-3.7029037
78,40.4162628,-3.7004882
79,40.3066217,-3.8689324
80,40.3563461,-3.7354437
81,40.4226984,-3.6955345
82,40.4501693,-3.6918735
83,40.3900851,-3.7611805
84,40.4100159,-3.6961399
85,40.4203519,-3.7003729
86,,
87,,
88,,
89,,
90,,
